ID1,H10,H1N1_42,H1N1v,H1N2,H1s,H2Nx,H3N2,H3Nx,H5Nx,H5Nx_51,H7,H9
H10,0.678,0.133,0.362,0.147,0.142,0.309,0.179,0.164,0.236,0.123,0.401,0.285
H1N1_42,,0.755,0.616,0.477,0.508,0.234,0.151,0.13,0.303,0.336,0.128,0.133
H1N1v,,,0.797,0.402,0.418,0.368,0.201,0.182,0.349,0.25,0.302,0.254
H1N2,,,,0.632,0.625,0.25,0.146,0.127,0.303,0.341,0.138,0.13
H1s,,,,,0.644,0.253,0.15,0.128,0.316,0.356,0.136,0.14
H2Nx,,,,,,0.642,0.179,0.161,0.335,0.262,0.276,0.236
H3N2,,,,,,,0.692,0.671,0.163,0.144,0.18,0.143
H3Nx,,,,,,,,0.724,0.143,0.123,0.164,0.133
H5Nx,,,,,,,,,0.561,0.566,0.234,0.162
H5Nx_51,,,,,,,,,,0.701,0.139,0.089
H7,,,,,,,,,,,0.709,0.205
H9,,,,,,,,,,,,0.643
