ID1,H10,H1N1_42,H1N1v,H1N2,H1s,H2Nx,H3N2,H3Nx,H5Nx,H5Nx_51,H7,H9
H10,0.076,0.017,0.07,0.022,0.022,0.047,0.035,0.026,0.08,0.026,0.04,0.065
H1N1_42,,0.035,0.078,0.024,0.06,0.012,0.015,0.01,0.023,0.011,0.014,0.02
H1N1v,,,0.067,0.056,0.074,0.06,0.033,0.022,0.091,0.047,0.058,0.087
H1N2,,,,0.03,0.07,0.015,0.013,0.012,0.024,0.015,0.017,0.021
H1s,,,,,0.099,0.026,0.019,0.016,0.04,0.038,0.021,0.023
H2Nx,,,,,,0.091,0.033,0.026,0.071,0.021,0.04,0.063
H3N2,,,,,,,0.054,0.065,0.034,0.016,0.019,0.042
H3Nx,,,,,,,,0.078,0.032,0.014,0.016,0.042
H5Nx,,,,,,,,,0.092,0.048,0.073,0.071
H5Nx_51,,,,,,,,,,0.022,0.016,0.025
H7,,,,,,,,,,,0.128,0.054
H9,,,,,,,,,,,,0.062
