ID1,H10,H1N1_42,H1N1v,H1N2,H1s,H2Nx,H3N2,H3Nx,H5Nx,H5Nx_51,H7,H9
H10,0.795,0.142,0.377,0.158,0.156,0.34,0.201,0.176,0.267,0.139,0.461,0.311
H1N1_42,,0.744,0.618,0.478,0.507,0.25,0.148,0.129,0.332,0.335,0.136,0.174
H1N1v,,,0.8,0.404,0.42,0.385,0.2,0.18,0.368,0.253,0.319,0.3
H1N2,,,,0.633,0.626,0.267,0.144,0.128,0.329,0.34,0.15,0.176
H1s,,,,,0.646,0.27,0.15,0.13,0.346,0.355,0.15,0.184
H2Nx,,,,,,0.741,0.193,0.171,0.368,0.293,0.294,0.265
H3N2,,,,,,,0.709,0.694,0.166,0.141,0.192,0.16
H3Nx,,,,,,,,0.74,0.154,0.124,0.175,0.147
H5Nx,,,,,,,,,0.685,0.665,0.26,0.196
H5Nx_51,,,,,,,,,,0.706,0.155,0.128
H7,,,,,,,,,,,0.758,0.227
H9,,,,,,,,,,,,0.731
