id,chain,subtype,host,location,year,Continent
1ha0,A,H3N2,,Aichi,1968,Asia
4eef,A,H1N1,,BrevigMission,1918,* Not found *
4cqp,A,H5N1,,Vietnam,2004,Asia
4cqq,A,H5N1,,Vietnam,2004,Asia
4cqr,A,H5N1,,Vietnam,2004,Asia
4cqs,A,H5N1,,Vietnam,2004,Asia
4cqt,A,H5N1,,Vietnam,2004,Asia
4cqu,A,H5N1,,Vietnam,2004,Asia
4cqv,A,H5N1,avian,Turkey,2005,Asia
4cqw,A,H5N1,avian,Turkey,2005,Asia
4cqx,A,H5N1,avian,Turkey,2005,Asia
4cqy,A,H5N1,avian,Turkey,2005,Asia
4cqz,A,H5N1,,Vietnam,2004,Asia
4lvh,A,H1N1,,Korea,2009,* Not found *
3qqo,A,H2N2,,Japan,1957,Asia
4f23,A,H16N3,avian,Sweden,1999,Europe
4f3z,A,H1N2,swine,Indiana,2000,* Not found *
4hmg,A,H3N2,,Aichi,1968,Asia
4cyz,A,H10N2,avian,Sweden,2002,Europe
3fku,A,H5N1,,HongKong,2003,Asia
3mlh,A,H1N1,,Mexico,2009,North America
3sm5,A,H1N1,,SolomonIslands,2006,* Not found *
4cyv,A,H10N2,avian,Sweden,2002,Europe
4cyw,A,H10N2,avian,Sweden,2002,Europe
3htq,A,H1N1,avian,JX,2005,Europe
3htp,A,H1N1,avian,JX,2005,Europe
2fk0,A,H5N1,avian,Vietnam,2003,Asia
4m4y,A,H1N1,,California,2009,* Not found *
4kvn,A,H3N2,,Perth,2009,Oceania
4bsb,A,H7N9,,Hangzhou,2013,Asia
3hmg,A,H3N2,,Aichi,1968,Asia
4mhi,A,H5N1,avian,Guangdong,1996,Asia
3hto,A,H1N1,avian,JX,2005,Europe
4mhj,A,H5N1,avian,Guangdong,1996,Asia
4fqy,A,H3N2,,HongKong,1968,Asia
2wrg,A,H1N1,,BrevigMission,1918,* Not found *
2viu,A,H3N2,,Aichi,1968,Asia
4fqr,A,H3N2,,HongKong,1968,Asia
4hlz,A,H2N2,,Japan,1957,Asia
4fnk,A,H3N2,,HongKong,1968,Asia
4fqi,A,H5N1,,VietNam,2004,Asia
4juh,A,H1N1,,BrevigMission,1918,* Not found *
2wrc,A,H2N2,,Singapore,1957,Asia
3znk,A,H5N1,,Vietnam,2004,Asia
5hmg,A,H3N2,,Aichi,1968,Asia
3znm,A,H5N1,,Vietnam,2004,Asia
3znl,A,H5N1,,Vietnam,2004,Asia
4n61,A,H7N9,,Shanghai,2013,Asia
4ln8,A,H7N9,,Shanghai,2013,Asia
4hg4,A,H2N2,,Japan,1957,Asia
4ln6,A,H7N9,,Shanghai,2013,Asia
4ln4,A,H7N9,,Shanghai,2013,Asia
4ln3,A,H7N9,,Shanghai,2013,Asia
1rvx,A,H1N1,,PuertoRico,1934,* Not found *
4wa1,A,H3N8,avian,Massachusetts,2011,* Not found *
4wa2,A,H3N8,avian,Massachusetts,2011,* Not found *
3s11,A,H5N1,avian,Guangdong,1996,Asia
3s13,A,H5N1,avian,HongKong,2001,Asia
3s12,A,H5N1,avian,HongKong,2001,Asia
3eyj,A,H14N6,avian,Astrakhan,1982,* Not found *
4hf5,A,H2N2,,Japan,1957,Asia
1jsm,A,H5N3,avian,Singapore,1997,Asia
1jsn,A,H5N3,avian,Singapore,1997,Asia
1jso,A,H5N3,avian,Singapore,1997,Asia
1jsh,A,H9N2,swine,HongKong,1998,Asia
1jsi,A,H9N2,swine,HongKong,1998,Asia
1jsd,A,H9N2,swine,HongKong,1998,Asia
3zpb,A,H5N1,,Vietnam,2004,Asia
4jtv,A,H1N1,,California,2009,* Not found *
4eda,A,H1N1,,Korea,2009,* Not found *
3sdy,A,H3N2,,HongKong,1968,Asia
3qqi,A,H2N2,,Japan,1957,Asia
3qqe,A,H2N2,,Japan,1957,Asia
4h32,A,H17N10,bat,Guatemala,2010,North America
3qqb,A,H2N2,,Japan,1957,Asia
4jtx,A,H1N1,,California,2009,* Not found *
1rvz,A,H1N1,,PuertoRico,1934,* Not found *
1mqn,A,H3N8,avian,Ukraine,1963,Europe
1mqm,A,H3N8,avian,Ukraine,1963,Europe
1mql,A,H3N8,avian,Ukraine,1963,Europe
4kpq,A,H13N6,avian,Maryland,1977,* Not found *
4edb,A,H1N1,,Thailand,2006,Asia
3lzg,A,H1N1,,California,2009,* Not found *
3lzf,A,H1N1,,BrevigMission,1918,* Not found *
1rvt,A,H1N1,swine,St-Hyacinthe,1990,North America
3eym,A,H3N2,,Aichi,1968,Asia
4hfu,A,H2N2,,Japan,1957,Asia
4bgw,A,H5N1,,Vietnam,2004,Asia
4gxx,A,H1N1,,BrevigMission,1918,* Not found *
4bgz,A,H5N1,avian,Turkey,2005,Asia
4bgy,A,H5N1,,Vietnam,2004,Asia
4bgx,A,H5N1,,Vietnam,2004,Asia
4f15,A,H1N1,,Korea,2009,* Not found *
1qfu,A,H3N2,,Aichi,1968,Asia
3zp6,A,H5N1,,Vietnam,2004,Asia
3zp3,A,H5N1,,Vietnam,2004,Asia
3zp2,A,H5N1,,Vietnam,2004,Asia
3zp1,A,H5N1,,Vietnam,2004,Asia
3zp0,A,H5N1,,Vietnam,2004,Asia
4uo8,A,H3N8,canine,Colorado,2006,* Not found *
4bh3,A,H5N1,,VietNam,2004,Asia
4uny,A,H3N8,equine,Newmarket,,* Not found *
4n64,A,H7N9,,Shanghai,2013,Asia
2wrf,A,H2N2,avian,Potsdam,1984,Europe
2wre,A,H2N2,,Japan,1957,Asia
2wrd,A,H2N2,,Japan,1957,Asia
4n60,A,H7N9,,Shanghai,2013,Asia
2wrb,A,H2N2,,Singapore,1957,Asia
4n62,A,H7N9,,Shanghai,2013,Asia
4n63,A,H7N9,,Shanghai,2013,Asia
4cr0,A,H5N1,,Vietnam,2004,Asia
1eo8,A,H3N2,,Aichi,1968,Asia
3htt,A,H1N1,avian,JX,2005,Europe
2wrh,A,H1N1,avian,Alberta,1976,North America
4cz0,A,H10N2,avian,Sweden,2002,Europe
3m5g,A,H7N2,avian,NewJersey,2004,* Not found *
4bh4,A,H5N1,,VietNam,2004,Asia
4ju0,A,H1N1,,California,2009,* Not found *
1ti8,A,H7N3,avian,Italy,2002,Europe
1rd8,A,H1N1,,BrevigMission,1918,* Not found *
1ru7,A,H1N1,,PuertoRico,1934,* Not found *
4dj6,A,H7N7,,Netherlands,2003,* Not found *
4dj7,A,H7N7,,Netherlands,2003,* Not found *
4bsi,A,H7N3,avian,Italy,2002,Europe
