id,chain,host,location,year,subtype,continent
AAA43090,A,,Berlin,1964.0,H2N2,Europe
AAA43117,A,avian,,1972.0,H2N9,Europe
AAA43185,A,,Japan,1957.0,H2N2,Asia
AAA43205,A,avian,Ontario,1966.0,H5N9,North America
AAA43243,A,avian,Hong Kong,1978.0,H2N2,Asia
AAA43247,A,,Korea,1968.0,H2N2,Asia
AAA43248,A,,Krasnodar,1959.0,H2N2,Europe
AAA43578,A,avian,Ontario,1976.0,H2N3,North America
AAA43678,A,,Singapore,1957.0,H2N2,Asia
AAA72339,A,swine,Nebraska,1992.0,H1N1,North America
AAA92280,A,,WS,1933.0,H1N1,Oceania
AAC54377,A,avian,Germany,1979.0,H7N7,Europe
AAC54378,A,avian,South Africa,1961.0,H5N3,Africa
AAC54380,A,avian,England,1963.0,H7N3,Europe
AAC59602,A,,Vienna,1996.0,H3N2,Europe
AAD05216,A,swine,England,1994.0,H1N2,Europe
AAD05217,A,swine,England,1995.0,H1N2,Europe
AAD05218,A,swine,England,1996.0,H1N2,Europe
AAD17229,A,,South Carolina,1918.0,H1N1,North America
AAD25309,A,swine,Netherlands,1980.0,H1N1,Europe
AAD25312,A,swine,Netherlands,1985.0,H1N1,Europe
AAD26938,A,avian,NY,1998.0,H7N2,North America
AAF87283,A,swine,Wisconsin,1998.0,H1N1,North America
AAF87284,A,swine,Wisconsin,1998.0,H1N1,North America
AAG10650,A,avian,Pakistan,1995.0,H7N3,Asia
AAG10670,A,avian,Northern Ireland,1998.0,H7N7,Europe
AAK70452,A,,Hong Kong,1998.0,H1N1,Asia
AAK70454,A,,Hong Kong,1998.0,H1N1,Asia
AAK70456,A,,Hong Kong,1998.0,H1N1,Asia
AAK71687,A,avian,MO,1999.0,H1N2,Asia
AAL29715,A,swine,MN,2001.0,H1N2,Asia
AAL87867,A,swine,North Carolina,2001.0,H1N2,North America
AAL87868,A,swine,Minnesota,2000.0,H1N2,North America
AAM75158,A,,Puerto Rico,,H1N1,North America
AAO65612,A,avian,NC,2001.0,H1N2,North America
AAP34322,A,,Texas,1991.0,H1N1,North America
AAP60037,A,,Memphis,1996.0,H1N1,North America
AAP71989,A,avian,MN,1998.0,H5N2,Asia
AAR02640,A,,Netherlands,2003.0,H7N7,Europe
AAS07023,A,avian,England,1973.0,H5N2,Europe
AAT08004,A,avian,,1969.0,H3N2,Europe
AAT12704,A,swine,Pingtung,2002.0,H3N2,Asia
AAU25851,A,swine,Saskatchewan,2002.0,H1N1,North America
AAU25861,A,swine,Ontario,2001.0,H3N3,North America
AAV30828,A,swine,Fujian,2003.0,H5N1,Asia
AAV80798,A,avian,Minnesota,2003.0,H3N2,North America
AAW29080,A,avian,Eshkol,2003.0,H9N2,Asia
AAW78047,A,avian,Korea,2003.0,H3N2,Asia
AAW80717,A,,Viet Nam,2004.0,H5N1,Asia
AAX35871,A,,New York,2002.0,H3N2,North America
AAX47525,A,,New York,2002.0,H3N2,North America
AAX56590,A,,New York,2002.0,H3N2,North America
AAX57924,A,,New York,2000.0,H3N2,North America
AAY28395,A,,New York,2003.0,H3N2,North America
AAY46201,A,swine,Inner Mongolia,2001.0,H3N2,Asia
AAY52493,A,avian,Fujian,2000.0,H9N2,Asia
AAY52504,A,avian,Heilongjiang,2000.0,H9N2,Asia
AAY52507,A,avian,Henan,2002.0,H9N2,Asia
AAY52517,A,avian,Shijiazhuang,1998.0,H9N2,Asia
AAZ32951,A,,Moscow,2003.0,H3N2,Europe
ABA08508,A,,New York,2003.0,H1N2,North America
ABA27440,A,swine,IN,2004.0,H3N1,North America
ABA43336,A,,Memphis,1990.0,H3N2,North America
ABA46957,A,swine,Minnesota,2004.0,H3N1,North America
ABB03134,A,,New York,2003.0,H1N2,North America
ABB04906,A,,Hong Kong,1992.0,H3N2,Asia
ABB04928,A,,Hong Kong,1975.0,H3N2,Asia
ABB18025,A,avian,Alberta,1996.0,H2N5,North America
ABB20141,A,avian,Brazil,1990.0,H2N1,South America
ABB46392,A,,Beijing,1975.0,H3N2,Asia
ABB51963,A,,Taiwan,2004.0,H3N2,Asia
ABB79957,A,,Nanchang,1994.0,H3N2,Asia
ABB80023,A,,Hong Kong,1972.0,H3N2,Asia
ABB80672,A,,New York,1998.0,H3N2,North America
ABB82216,A,,New York,2002.0,H1N1,North America
ABB86946,A,swine,Ontario,2004.0,H1N1,North America
ABB87366,A,avian,DE,1988.0,H9N6,North America
ABB87844,A,avian,Alberta,1993.0,H10N7,North America
ABB87886,A,avian,Delaware Bay,1987.0,H9N5,North America
ABB88369,A,avian,Ukraine,1963.0,H3N8,Europe
ABB96363,A,,Memphis,1976.0,H3N2,North America
ABB96520,A,,Nanjing,1977.0,H3N2,Asia
ABC69150,A,avian,Hebei,2002.0,H5N1,Asia
ABC72655,A,,Thailand,2005.0,H5N1,Asia
ABD15258,A,,Denver,1957.0,H1N1,North America
ABD15746,A,,Canterbury,2000.0,H3N2,Europe
ABD16718,A,,Memphis,1986.0,H3N2,North America
ABD28181,A,,Anhui,2005.0,H5N1,Asia
ABD28182,A,,Guangxi,2005.0,H5N1,Asia
ABD59847,A,,Taiwan,1996.0,H1N1,Asia
ABD59848,A,,TW,1997.0,H1N1,Asia
ABD59849,A,,Taiwan,1999.0,H1N1,Asia
ABD59853,A,,TW,2003.0,H3N2,Asia
ABD60955,A,,Texas,1991.0,H1N1,North America
ABD61249,A,swine,Wisconsin,1980.0,H3N2,North America
ABD61735,A,,Fort Warren,1950.0,H1N1,North America
ABD62843,A,,Bellamy,1942.0,H1N1,North America
ABD73284,A,avian,Turkey,2005.0,H5N1,Asia
ABD79101,A,,Weiss,1943.0,H1N1,NaN
ABD79112,A,,Cameron,1946.0,H1N1,NaN
ABD85122,A,swine,Taiwan,2004.0,H3N1,Asia
ABD95031,A,,Canterbury,2000.0,H1N1,Europe
ABE68927,A,avian,Qinghai,2005.0,H5N1,Asia
ABE73115,A,,Moscow,1999.0,H3N2,Europe
ABF17959,A,avian,Ontario,2005.0,H3N2,North America
ABF21269,A,,Beijing,1989.0,H3N2,Asia
ABF21276,A,,Texas,1991.0,H1N1,North America
ABF21278,A,,WilsonSmith,1933.0,H1N1,North America
ABF60578,A,avian,New York,1978.0,H3N2,North America
ABG34254,A,swine,Korea,2005.0,H1N2,Asia
ABG37230,A,,New York,1994.0,H3N2,North America
ABG48181,A,,Waikato,2002.0,H3N2,Oceania
ABG67978,A,avian,Laos,2006.0,H5N1,Asia
ABG80073,A,,New York,1994.0,H3N2,North America
ABG88531,A,,New York,1994.0,H3N2,North America
ABI20826,A,,Hickox,1940.0,H1N1,North America
ABI20870,A,,New York,1995.0,H1N1,North America
ABI20958,A,,New York,1994.0,H3N2,North America
ABI21519,A,,Nanchang,1996.0,H1N1,Asia
ABI36450,A,,Indonesia,2006.0,H5N1,Asia
ABI54388,A,swine,Korea,2006.0,H3N1,Asia
ABI84450,A,avian,Delaware,1986.0,H2N7,North America
ABI84495,A,avian,New Zealand,1984.0,H5N2,Oceania
ABI84588,A,avian,Germany,1973.0,H2N3,Europe
ABI84602,A,avian,Minnesota,1980.0,H7N3,North America
ABI84849,A,avian,Pennsylvania,2002.0,H7N2,North America
ABI85000,A,,Canada,2004.0,H7N3,North America
ABI85011,A,avian,Italy,2000.0,H7N1,Europe
ABI94581,A,avian,Netherlands,2003.0,H7N7,Europe
ABI95261,A,,Nanchang,1996.0,H1N1,Asia
ABJ16565,A,avian,Maryland,2002.0,H5N2,North America
ABJ16785,A,,South Australia,2000.0,H3N2,Oceania
ABJ51739,A,avian,Viet Nam,2005.0,H5N1,Asia
ABK00132,A,swine,Anhui,2004.0,H5N1,Asia
ABK34764,A,avian,Shanxi,2006.0,H5N1,Asia
ABK57092,A,,Philippines,2004.0,H1N2,Asia
ABK57093,A,,Thailand,2005.0,H1N1,Asia
ABM21877,A,avian,Dubai,2000.0,H9N2,Asia
ABN51066,A,,Memphis,1996.0,H1N1,North America
ABO32981,A,,Lackland,1978.0,H1N1,North America
ABO32992,A,,Lackland,1978.0,H1N1,North America
ABO38098,A,,Albany,1958.0,H2N2,North America
ABO38340,A,,Chile,1983.0,H1N1,South America
ABO38351,A,,Henry,1936.0,H1N1,North America
ABO38362,A,,India,1980.0,H1N1,Asia
ABO38373,A,,Iowa,1943.0,H1N1,North America
ABO38384,A,,Phila,1935.0,H1N1,North America
ABO38701,A,,Albany,1967.0,H2N2,North America
ABO44057,A,,Albany,1967.0,H2N2,North America
ABO52071,A,,Waikato,2004.0,H3N2,Oceania
ABO52247,A,,Albany,1968.0,H2N2,North America
ABO52280,A,,Malaya,1954.0,H1N1,Asia
ABP49327,A,,AA,1945.0,H1N1,North America
ABP49481,A,,Albany,1951.0,H1N1,North America
ABP51975,A,,Hong Kong,2003.0,H5N1,Asia
ABQ01355,A,,Albany,1960.0,H2N2,North America
ABQ11257,A,avian,Thailand,2005.0,H5N1,Asia
ABQ42444,A,swine,Guangxi,2006.0,H1N2,Asia
ABQ57239,A,swine,,,H3N2,Asia
ABQ97200,A,,Hong Kong,1968.0,H3N2,Asia
ABQ97202,A,swine,Leipzig,1992.0,H3N2,Europe
ABR37440,A,emu,New South Wales,1997.0,H7N4,Oceania
ABS00315,A,swine,Henan,2006.0,H1N1,Asia
ABS50053,A,,Auckland,2001.0,H3N2,Oceania
ABS50795,A,avian,Israel,2005.0,H9N2,Asia
ABS53363,A,swine,Cloppenburg,2005.0,H1N2,Europe
ABS53372,A,swine,Bakum,2000.0,H1N2,Europe
ABS71668,A,,Thailand,2006.0,H1N1,Asia
ABS71672,A,,Thailand,2006.0,H1N1,Asia
ABS89365,A,avian,,1976.0,H7N7,Oceania
ABU80265,A,swine,Tennessee,1978.0,H1N1,North America
ABU92710,A,,Denmark,2004.0,H3N2,Europe
ABU99094,A,avian,West Java,2006.0,H5N1,Asia
ABU99104,A,avian,Vietnam,2005.0,H5N1,Asia
ABU99195,A,avian,West Java,2006.0,H5N1,Asia
ABV31843,A,avian,Guangxi,2005.0,H9N2,Asia
ABW21667,A,avian,Huadong,2005.0,H5N1,Asia
ABW36333,A,swine,Ontario,1981.0,H1N1,North America
ABW39883,A,,Texas,2007.0,H1N1,North America
ABW40114,A,,New York,2007.0,H1N1,North America
ABW80976,A,,New York,2001.0,H3N2,North America
ABW81507,A,,Denmark,2001.0,H1N1,Europe
ABW81532,A,,Denmark,2003.0,H1N2,Europe
ABW91526,A,,Kentucky,2007.0,H1N1,North America
ABW94127,A,avian,Maryland,2002.0,H1N1,North America
ABX10497,A,avian,Hebei,2005.0,H5N1,Asia
ABY40410,A,swine,Saraburi,2005.0,H1N2,Asia
ABY79833,A,avian,Egypt,2007.0,H5N1,Africa
ABY81426,A,swine,Iowa,1986.0,H1N1,North America
ABY81821,A,swine,Korea,2004.0,H3N2,Asia
ABY81829,A,avian,Korea,2005.0,H3N2,Asia
