p_id,sero
AFL56810,H1N1
ACN90994,H1N2
BAJ09275,H3N8
AFG71953,H3N2
AAA43185,H2N2
JN807846,H5N1
AHL83031,H5N3
ACT97067,H1N2
CY041814,H1N1
AFR42701,H3N2
ADP05204,H1N1
AFR76396,H1N2
ACF41900,H3N2
AGL04315,H1N1
ACU44406,H1N1
ADY71612,H1N1
AFH76980,H1N1
ABB87886,H9N5
AGI02406,H1N1
AFF57124,H1N1
AFG71942,H3N2
AGH25310,H5N1
ABB96363,H3N2
AFU08884,H1N2
AGK24455,H1N2
AHZ44225,H3N2
AFR76539,H1N2
ADU25478,H1N1
AFG99237,H3N2
ADU85893,H1N2
AHY84442,H9N2
AGG86723,H5N1
AFH00461,H3N2
AHB22855,H3N2
AFU09933,H1N2
ACF20226,H10N7
AEH42785,H1N2
ABM21877,H9N2
AGC13458,H1N1
AAM75158,H1N1
AFJ74842,H3N2
AFG72350,H3N2
AFE48437,H5N2
AHF20501,H1N1
AHN96842,H2N3
AEO91779,H1N1
ABB80672,H3N2
ACB36678,H1N1
ADR51668,H1N2
AFJ13347,H2N7
CY095777,H1N1
ACU12494,H3N2
ABW39883,H1N1
AFI62154,H1N2
BAM42775,H3N2
AGH30710,H1N2
AIA24431,H3N2
AHL83056,H5N3
ADM95450,H5N1
ADV58880,H3N2
AGL57025,H7N3
AGE84002,H1N1
AIA24447,H3N2
JQ858472,H5N1
AHZ65629,H3N2
AHB21195,H3N1
AGH25309,H5N1
BAI83388,H1N2
AFG99248,H3N2
AHN96710,H3N8
AGL04595,H1N1
ACV49600,H2N2
AHX38928,H3N2
AGZ61263,H3N2
JX456104,H5N1
ACU46717,H3N2
AHY20744,H5N1
AHB22532,H3N2
ACF24987,H3N5
ADG59054,H5N1
ADG21445,H5N1
AHW83238,H1N2
ADV69090,H1N1
AFH76985,H1N2
EU124276,H5N1
AFH00065,H3N2
AGO17847,H9N2
AEK86048,H1N1
ABO38701,H2N2
AAZ32951,H3N2
AGL09786,H3N2
AHB72773,H3N2
AFM72257,H3N2
AFM72356,H3N2
CY067632,H1N1
AHB22225,H3N2
AFJ12607,H2N2
ADG59070,H5N1
AAY52493,H9N2
ACX31993,H5N1
ABI84602,H7N3
AFD32574,H3N2
CY036245,H5N1
AEY75592,H9N2
BAH98103,H3N2
AFX65259,H1N2
AHY84466,H1N1
AFR75836,H1N2
AAD17229,H1N1
