id,chain,host,location,year,subtype
AAA43090,A,,Berlin,1964,H2N2
AAA43117,A,avian,,1972,H2N9
AAA43185,A,,Japan,1957,H2N2
AAA43205,A,avian,Ontario,1966,H5N9
AAA43243,A,avian,Hong Kong,1978,H2N2
AAA43247,A,,Korea,1968,H2N2
AAA43248,A,,Krasnodar,1959,H2N2
AAA43578,A,avian,Ontario,1976,H2N3
AAA43678,A,,Singapore,1957,H2N2
AAA72339,A,swine,Nebraska,1992,H1N1
AAA92280,A,,WS,1933,H1N1
AAC54377,A,avian,,1979,H7N7
AAC54378,A,avian,,1961,H5N3
AAC54380,A,avian,,1963,H7N3
AAC59602,A,,Vienna,1996,H3N2
AAD05216,A,swine,England,1994,H1N2
AAD05217,A,swine,England,1995,H1N2
AAD05218,A,swine,England,1996,H1N2
AAD17229,A,,South Carolina,1918,H1N1
AAD25309,A,swine,Netherlands,1980,H1N1
AAD25312,A,swine,Netherlands,1985,H1N1
AAD26938,A,avian,NY,1998,H7N2
AAF87283,A,swine,Wisconsin,1998,H1N1
AAF87284,A,swine,Wisconsin,1998,H1N1
AAG10650,A,avian,Pakistan,1995,H7N3
AAG10670,A,avian,Northern Ireland,1998,H7N7
AAK70452,A,,Hong Kong,1998,H1N1
AAK70454,A,,Hong Kong,1998,H1N1
AAK70456,A,,Hong Kong,1998,H1N1
AAK71687,A,avian,MO,1999,H1N2
AAL29715,A,swine,MN,2001,H1N2
AAL87867,A,swine,North Carolina,2001,H1N2
AAL87868,A,swine,Minnesota,2000,H1N2
AAM75158,A,,Puerto Rico,,H1N1
AAO65612,A,avian,NC,2001,H1N2
AAP34322,A,,Texas,1991,H1N1
AAP60037,A,,Memphis,1996,H1N1
AAP71989,A,avian,MN,1998,H5N2
AAR02640,A,,Netherlands,2003,H7N7
AAS07023,A,avian,England,1973,H5N2
AAT08004,A,avian,,1969,H3N2
AAT12704,A,swine,Pingtung,2002,H3N2
AAU25851,A,swine,Saskatchewan,2002,H1N1
AAU25861,A,swine,Ontario,2001,H3N3
AAV30828,A,swine,Fujian,2003,H5N1
AAV80798,A,avian,Minnesota,2003,H3N2
AAW29080,A,avian,Eshkol,2003,H9N2
AAW78047,A,avian,Korea,2003,H3N2
AAW80717,A,,Viet Nam,2004,H5N1
AAX35871,A,,New York,2002,H3N2
AAX47525,A,,New York,2002,H3N2
AAX56590,A,,New York,2002,H3N2
AAX57924,A,,New York,2000,H3N2
AAY28395,A,,New York,2003,H3N2
AAY46201,A,swine,Inner Mongolia,2001,H3N2
AAY52493,A,avian,Fujian,2000,H9N2
AAY52504,A,avian,Heilongjiang,2000,H9N2
AAY52507,A,avian,Henan,2002,H9N2
AAY52517,A,avian,Shijiazhuang,1998,H9N2
AAZ32951,A,,Moscow,2003,H3N2
ABA08508,A,,New York,2003,H1N2
ABA27440,A,swine,IN,2004,H3N1
ABA43336,A,,Memphis,1990,H3N2
ABA46957,A,swine,Minnesota,2004,H3N1
ABB03134,A,,New York,2003,H1N2
ABB04906,A,,Hong Kong,1992,H3N2
ABB04928,A,,Hong Kong,1975,H3N2
ABB18025,A,avian,Alberta,1996,H2N5
ABB20141,A,avian,Brazil,1990,H2N1
ABB46392,A,,Beijing,1975,H3N2
ABB51963,A,,Taiwan,2004,H3N2
ABB79957,A,,Nanchang,1994,H3N2
ABB80023,A,,Hong Kong,1972,H3N2
ABB80672,A,,New York,1998,H3N2
ABB82216,A,,New York,2002,H1N1
ABB86946,A,swine,Ontario,2004,H1N1
ABB87366,A,avian,DE,1988,H9N6
ABB87844,A,avian,Alberta,1993,H10N7
ABB87886,A,avian,Delaware Bay,1987,H9N5
ABB88369,A,avian,Ukraine,1963,H3N8
ABB96363,A,,Memphis,1976,H3N2
ABB96520,A,,Nanjing,1977,H3N2
ABC69150,A,avian,Hebei,2002,H5N1
ABC72655,A,,Thailand,2005,H5N1
ABD15258,A,,Denver,1957,H1N1
ABD15746,A,,Canterbury,2000,H3N2
ABD16718,A,,Memphis,1986,H3N2
ABD28181,A,,Anhui,2005,H5N1
ABD28182,A,,Guangxi,2005,H5N1
ABD59847,A,,Taiwan,1996,H1N1
ABD59848,A,,TW,1997,H1N1
ABD59849,A,,Taiwan,1999,H1N1
ABD59853,A,,TW,2003,H3N2
ABD60955,A,,Texas,1991,H1N1
ABD61249,A,swine,Wisconsin,1980,H3N2
ABD61735,A,,Fort Warren,1950,H1N1
ABD62843,A,,Bellamy,1942,H1N1
ABD73284,A,avian,Turkey,2005,H5N1
ABD79101,A,,Weiss,1943,H1N1
ABD79112,A,,Cameron,1946,H1N1
ABD85122,A,swine,Taiwan,2004,H3N1
ABD95031,A,,Canterbury,2000,H1N1
ABE68927,A,avian,Qinghai,2005,H5N1
ABE73115,A,,Moscow,1999,H3N2
ABF17959,A,avian,Ontario,2005,H3N2
ABF21269,A,,Beijing,1989,H3N2
ABF21276,A,,Texas,1991,H1N1
ABF21278,A,,WilsonSmith,1933,H1N1
ABF60578,A,avian,New York,1978,H3N2
ABG34254,A,swine,Korea,2005,H1N2
ABG37230,A,,New York,1994,H3N2
ABG48181,A,,Waikato,2002,H3N2
ABG67978,A,avian,Laos,2006,H5N1
ABG80073,A,,New York,1994,H3N2
ABG88531,A,,New York,1994,H3N2
ABI20826,A,,Hickox,1940,H1N1
ABI20870,A,,New York,1995,H1N1
ABI20958,A,,New York,1994,H3N2
ABI21519,A,,Nanchang,1996,H1N1
ABI36450,A,,Indonesia,2006,H5N1
ABI54388,A,swine,Korea,2006,H3N1
ABI84450,A,avian,Delaware,1986,H2N7
ABI84495,A,avian,New Zealand,1984,H5N2
ABI84588,A,avian,Germany,1973,H2N3
ABI84602,A,avian,Minnesota,1980,H7N3
ABI84849,A,avian,Pennsylvania,2002,H7N2
ABI85000,A,,Canada,2004,H7N3
ABI85011,A,avian,Italy,2000,H7N1
ABI94581,A,avian,Netherlands,2003,H7N7
ABI95261,A,,Nanchang,1996,H1N1
ABJ16565,A,avian,Maryland,2002,H5N2
ABJ16785,A,,South Australia,2000,H3N2
ABJ51739,A,avian,Viet Nam,2005,H5N1
ABK00132,A,swine,Anhui,2004,H5N1
ABK34764,A,avian,Shanxi,2006,H5N1
ABK57092,A,,Philippines,2004,H1N2
ABK57093,A,,Thailand,2005,H1N1
ABM21877,A,avian,Dubai,2000,H9N2
ABN51066,A,,Memphis,1996,H1N1
ABO32981,A,,Lackland,1978,H1N1
ABO32992,A,,Lackland,1978,H1N1
ABO38098,A,,Albany,1958,H2N2
ABO38340,A,,Chile,1983,H1N1
ABO38351,A,,Henry,1936,H1N1
ABO38362,A,,India,1980,H1N1
ABO38373,A,,Iowa,1943,H1N1
ABO38384,A,,Phila,1935,H1N1
ABO38701,A,,Albany,1967,H2N2
ABO44057,A,,Albany,1967,H2N2
ABO52071,A,,Waikato,2004,H3N2
ABO52247,A,,Albany,1968,H2N2
ABO52280,A,,Malaya,1954,H1N1
ABP49327,A,,AA,1945,H1N1
ABP49481,A,,Albany,1951,H1N1
ABP51975,A,,Hong Kong,2003,H5N1
ABQ01355,A,,Albany,1960,H2N2
ABQ11257,A,avian,Thailand,2005,H5N1
ABQ42444,A,swine,Guangxi,2006,H1N2
ABQ57239,A,swine,,,H3N2
ABQ97200,A,,Hong Kong,1968,H3N2
ABQ97202,A,swine,Leipzig,1992,H3N2
ABR37440,A,emu,New South Wales,1997,H7N4
ABS00315,A,swine,Henan,2006,H1N1
ABS50053,A,,Auckland,2001,H3N2
ABS50795,A,avian,Israel,2005,H9N2
ABS53363,A,swine,Cloppenburg,2005,H1N2
ABS53372,A,swine,Bakum,2000,H1N2
ABS71668,A,,Thailand,2006,H1N1
ABS71672,A,,Thailand,2006,H1N1
ABS89365,A,avian,,1976,H7N7
ABU80265,A,swine,Tennessee,1978,H1N1
ABU92710,A,,Denmark,2004,H3N2
ABU99094,A,avian,West Java,2006,H5N1
