ID1,H10,H1N1_42,H1N1v,H1N2,H1s,H2Nx,H3N2,H3Nx,H5Nx,H5Nx_51,H7,H9
H10,0.0,0.002,0.001,0.002,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001
H1N1_42,,0.0,0.0,0.002,0.003,0.001,0.002,0.002,0.001,0.001,0.002,0.001
H1N1v,,,0.0,0.002,0.003,0.001,0.001,0.002,0.001,0.001,0.002,0.001
H1N2,,,,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003
H1s,,,,,0.003,0.002,0.004,0.004,0.004,0.004,0.003,0.004
H2Nx,,,,,,0.0,0.001,0.001,0.001,0.001,0.002,0.001
H3N2,,,,,,,0.001,0.0,0.002,0.001,0.004,0.002
H3Nx,,,,,,,,0.0,0.002,0.001,0.004,0.002
H5Nx,,,,,,,,,0.001,0.001,0.002,0.001
H5Nx_51,,,,,,,,,,0.0,0.002,0.001
H7,,,,,,,,,,,0.002,0.005
H9,,,,,,,,,,,,0.0
