ID1,H10,H1N1_42,H1N1v,H1N2,H1s,H2Nx,H3N2,H3Nx,H5Nx,H5Nx_51,H7,H9
H10,0.192,0.024,0.119,0.036,0.043,0.12,0.044,0.044,0.186,0.018,0.229,0.129
H1N1_42,,0.03,0.032,0.098,0.098,0.017,0.023,0.022,0.015,0.014,0.025,0.017
H1N1v,,,0.251,0.098,0.098,0.132,0.035,0.036,0.152,0.014,0.132,0.14
H1N2,,,,0.143,0.147,0.078,0.043,0.043,0.09,0.092,0.035,0.06
H1s,,,,,0.162,0.069,0.045,0.045,0.103,0.104,0.043,0.07
H2Nx,,,,,,0.347,0.059,0.057,0.261,0.014,0.204,0.148
H3N2,,,,,,,0.065,0.065,0.058,0.026,0.031,0.087
H3Nx,,,,,,,,0.066,0.055,0.025,0.032,0.084
H5Nx,,,,,,,,,0.25,0.036,0.283,0.221
H5Nx_51,,,,,,,,,,0.039,0.03,0.018
H7,,,,,,,,,,,0.353,0.21
H9,,,,,,,,,,,,0.265
