ID1,H10,H1N1_42,H1N1v,H1N2,H1s,H2Nx,H3N2,H3Nx,H5Nx,H5Nx_51,H7,H9
H10,0.95,2.18,3.14,1.86,1.85,2.64,1.95,1.94,2.58,2.08,1.36,2.42
H1N1_42,,0.16,0.16,0.89,0.89,1.05,2.12,2.12,1.11,1.11,2.14,1.63
H1N1v,,,0.87,0.9,0.9,2.18,2.18,2.18,2.42,1.11,3.09,2.9
H1N2,,,,0.5,0.51,1.07,1.94,1.94,0.86,0.87,1.89,1.53
H1s,,,,,0.51,1.07,1.93,1.92,0.85,0.85,1.88,1.52
H2Nx,,,,,,0.83,2.45,2.45,1.42,1.06,2.75,2.13
H3N2,,,,,,,0.21,0.21,2.32,2.08,1.75,2.12
H3Nx,,,,,,,,0.21,2.32,2.08,1.745,2.12
H5Nx,,,,,,,,,1.06,0.2,2.81,2.1
H5Nx_51,,,,,,,,,,0.2,2.07,1.52
H7,,,,,,,,,,,0.9,2.59
H9,,,,,,,,,,,,0.95
