AIB06038,A,swine,Nebraska,2014
ABW36333,A,swine,Ontario,1981
ADD23162,A,-,San Diego,2009
AAV80798,A,avian,Minnesota,2003
ABY40410,A,swine,Saraburi,2005
AET84295,A,-,Nevada,2009
BAN14735,A,swine,Saitama,2005
BAF49415,A,avian,Hokkaido,2001
AGF69039,A,avian,United Arab Emirates,2011
AFH76980,A,swine,Missouri,2010
AEL89681,A,-,Bangkok,2010
ACR26715,A,swine,North Carolina,2003
AFH76985,A,swine,Illinois,2010
ABM21877,A,avian,Dubai,2000
ABU80265,A,swine,Tennessee,1978
AHM24191,A,swine,North Dakota,2014
ADV02479,A,swine,KU,2001
AGK24317,A,swine,Thailand,2010
AFH53725,A,swine,Illinois,2010
ADD10558,A,avian,Eastern China,2008
AEY75592,A,avian,Malaysia,1997
ABD85122,A,swine,Taiwan,2004
AHB22975,A,swine,North Carolina,2006
AHB72773,A,swine,Minnesota,2013
AEQ61287,A,swine,Jiangsu,2011
AGF69028,A,avian,United Arab Emirates,2011
AFV33742,A,-,Utah,2012
AFV53205,A,-,Montevideo,1967
AFJ19065,A,swine,Ohio,2011
AAM75158,A,-,Puerto Rico,-
AEX35120,A,-,HaNoi,2008
AAY52517,A,avian,Shijiazhuang,1998
AEO89172,A,-,Hunan,2009
AEV40002,A,-,Shenzhen,2009
ABA08508,A,-,New York,2003
ABD95031,A,-,Canterbury,2000
ADG59089,A,avian,Shanxi,2006
ABG80073,A,-,New York,1994
ACU46644,A,-,Thailand,2006
AGL04365,A,swine,Denmark,2003
AFN66856,A,swine,Oklahoma,2012
AFH53736,A,swine,Illinois,2010
AHN19556,A,avian,Egypt,2013
AFR76505,A,swine,Finistere,1982
AGK43414,A,avian,Minnesota,2010
AEW25367,A,-,Zhejiang,2009
ACY80644,A,avian,NV,2006
AGF68987,A,swine,Minnesota,2013
ADV19281,A,swine,Guangdong,2010
ABO38373,A,-,Iowa,1943
AHL83056,A,avian,Mississippi,2012
ABD28182,A,-,Guangxi,2005
AFR76696,A,swine,Italy,2001
AFU09933,A,swine,Illinois,2012
AGG25652,A,avian,Interior Alaska,2010
AHC69370,A,swine,Nebraska,2013
AGG53177,A,swine,Thailand,2012
AFW18325,A,avian,Giza,2009
ACF41900,A,-,New York,2004
ABB51963,A,-,Taiwan,2004
