ID1,H10,H1N1_42,H1N1v,H1N2,H1s,H2Nx,H3N2,H3Nx,H5Nx,H5Nx_51,H7,H9
H10,0.13,1.53,1.54,1.47,1.45,1.51,1.57,1.56,1.41,1.4,0.75,1.19
H1N1_42,,0.14,0.14,0.55,0.53,0.9,1.74,1.74,0.66,0.66,1.57,1.18
H1N1v,,,0.13,0.55,0.53,0.9,1.75,1.75,0.66,0.67,1.57,1.18
H1N2,,,,0.24,0.24,0.93,1.73,1.73,0.62,0.63,1.53,1.24
H1s,,,,,0.23,0.92,1.71,1.71,0.61,0.62,1.52,1.21
H2Nx,,,,,,0.13,1.66,1.66,0.72,0.72,1.48,1.21
H3N2,,,,,,,0.16,0.16,1.59,1.59,1.51,1.55
H3Nx,,,,,,,,0.15,1.59,1.59,1.51,1.55
H5Nx,,,,,,,,,0.13,0.14,1.43,1.18
H5Nx_51,,,,,,,,,,0.15,1.43,1.18
H7,,,,,,,,,,,0.27,1.34
H9,,,,,,,,,,,,0.11
