p_id,p_id2,evalues
1eo8,5hmg,6e-150
1eo8,3ztj,6e-150
1eo8,3eym,6e-150
1eo8,2ypg,6e-150
1eo8,1qfu,6e-150
1eo8,1ken,6e-150
1eo8,1hgj,6e-150
1eo8,1hgi,6e-150
1eo8,1hgh,6e-150
1eo8,1hgg,6e-150
1eo8,1hgf,6e-150
1eo8,1ha0,6e-150
1eo8,1eo8,6e-150
1eo8,4nm8,1e-149
1eo8,4fqy,1e-149
1eo8,4fqr,1e-149
1eo8,4fp8,1e-149
1eo8,4fnk,1e-149
1eo8,3sdy,1e-149
1eo8,2viu,3e-149
1eo8,4hmg,5e-149
1eo8,3hmg,5e-149
1eo8,3vun,5e-149
1eo8,2hmg,6e-149
1eo8,1hge,8e-149
1eo8,1hgd,8e-149
1eo8,1mqn,4e-142
1eo8,1mqm,4e-142
1eo8,1mql,4e-142
1eo8,4o58,1e-138
1eo8,4gms,1e-138
1eo8,4wa2,1e-136
1eo8,4wa1,1e-136
1eo8,4uo3,3e-131
1eo8,4uo2,3e-131
1eo8,4uo1,3e-131
1eo8,4uo0,3e-131
1eo8,4unz,4e-131
1eo8,4uny,4e-131
1eo8,4unx,4e-131
1eo8,4uoa,3e-129
1eo8,4uo9,3e-129
1eo8,4uo8,3e-129
1eo8,4uo7,3e-129
1eo8,4uo6,3e-129
1eo8,4uo5,3e-129
1eo8,4uo4,3e-129
1eo8,2yp5,2e-118
1eo8,2yp4,2e-118
1eo8,2yp3,2e-118
1eo8,2yp2,2e-118
1eo8,2yp9,1e-117
1eo8,2yp8,1e-117
1eo8,2yp7,1e-117
1eo8,4kvn,1e-115
1eo8,4o5n,2e-115
1eo8,4o5i,2e-115
1eo8,3eyk,3e-86
1eo8,3eyj,3e-86
1eo8,4cz0,2e-47
1eo8,4cyz,2e-47
1eo8,4cyw,2e-47
1eo8,4cyv,2e-47
1eo8,4d00,8e-46
1eo8,4qy2,9e-46
1eo8,4qy1,9e-46
1eo8,4qy0,9e-46
1eo8,4gxx,9e-44
1eo8,4n64,2e-43
1eo8,4n63,2e-43
1eo8,4n62,2e-43
1eo8,4n61,2e-43
1eo8,4n60,2e-43
1eo8,4n5k,2e-43
1eo8,4n5j,2e-43
1eo8,4ln8,2e-43
1eo8,4ln6,2e-43
1eo8,4kon,2e-43
1eo8,4bsf,2e-43
1eo8,4bse,2e-43
1eo8,4juj,4e-43
1eo8,4juh,4e-43
1eo8,4jug,4e-43
1eo8,4bsi,4e-43
1eo8,4bsh,4e-43
1eo8,4bsg,4e-43
1eo8,1ti8,4e-43
1eo8,4dj8,4e-43
1eo8,4dj7,4e-43
1eo8,4dj6,4e-43
1eo8,4bsd,6e-43
1eo8,4bsc,6e-43
1eo8,4bsb,6e-43
1eo8,4bsa,6e-43
1eo8,1rvt,6e-43
1eo8,4lkk,2e-42
1eo8,4lkj,2e-42
1eo8,4lki,2e-42
1eo8,4n5z,2e-42
1eo8,4n5y,2e-42
1eo8,4kdo,2e-42
1eo8,4kdn,2e-42
1eo8,4kdm,2e-42
1eo8,4bh4,2e-42
1eo8,4bh3,2e-42
1eo8,4bh2,2e-42
1eo8,4mhj,2e-42
1eo8,4mhi,2e-42
1eo8,4py8,3e-42
1eo8,4gxu,3e-42
1eo8,4eef,3e-42
1eo8,3r2x,3e-42
1eo8,3lzf,3e-42
1eo8,3gbn,3e-42
1eo8,2wrg,3e-42
1eo8,1rd8,3e-42
1eo8,4fqv,5e-42
1eo8,3s11,9e-42
1eo8,4lxv,1e-41
1eo8,1rvz,1e-41
1eo8,1rvx,1e-41
1eo8,1ru7,1e-41
1eo8,4cqy,3e-41
1eo8,4cqx,3e-41
1eo8,4cqw,3e-41
1eo8,4cqv,3e-41
1eo8,2wrh,3e-41
1eo8,1jso,3e-41
1eo8,1jsn,3e-41
1eo8,1jsm,3e-41
1eo8,4cr0,4e-41
1eo8,4fqi,4e-41
1eo8,4bgy,4e-41
1eo8,4bgx,4e-41
1eo8,4bgw,4e-41
1eo8,3zp1,4e-41
1eo8,3zp0,4e-41
1eo8,3znm,4e-41
1eo8,3znl,4e-41
1eo8,3znk,4e-41
1eo8,3gbm,4e-41
1eo8,3fku,4e-41
1eo8,2ibx,4e-41
1eo8,2fk0,4e-41
1eo8,4cqu,5e-41
1eo8,4cqs,5e-41
1eo8,4cqz,6e-41
1eo8,3uyx,6e-41
1eo8,4lvh,7e-41
1eo8,4f15,7e-41
1eo8,4eda,7e-41
1eo8,3mlh,7e-41
1eo8,3m6s,8e-41
1eo8,4ln4,9e-41
1eo8,4ln3,9e-41
1eo8,4lkh,9e-41
1eo8,4lkg,9e-41
1eo8,4lcx,9e-41
1eo8,4m5z,1e-40
1eo8,4cqt,2e-40
1eo8,4cqr,2e-40
1eo8,4cqq,2e-40
1eo8,4cqp,2e-40
1eo8,3zpb,2e-40
1eo8,3zp6,2e-40
1eo8,3s13,2e-40
1eo8,3zp3,2e-40
1eo8,3zp2,2e-40
1eo8,4juk,3e-40
1eo8,4edb,6e-40
1eo8,4m4y,6e-40
1eo8,4jtv,6e-40
1eo8,3uyw,6e-40
1eo8,3lzg,6e-40
1eo8,3al4,6e-40
1eo8,4k67,7e-40
1eo8,4k66,7e-40
1eo8,4k65,7e-40
1eo8,3sm5,7e-40
1eo8,4ju0,7e-40
1eo8,4jtx,7e-40
1eo8,3htt,1e-39
1eo8,3htq,1e-39
1eo8,3htp,1e-39
1eo8,3hto,1e-39
1eo8,4kdq,2e-39
1eo8,4jun,3e-39
1eo8,4kw1,3e-39
1eo8,4bh1,3e-39
1eo8,4bh0,3e-39
1eo8,4bgz,3e-39
1eo8,4k64,5e-39
1eo8,4k63,5e-39
1eo8,4k62,5e-39
1eo8,4f3z,6e-39
1eo8,3s12,7e-39
1eo8,4jum,7e-39
1eo8,2wr2,9e-39
1eo8,2wr1,9e-39
1eo8,2wr0,9e-39
1eo8,3ubq,1e-38
1eo8,3ubn,1e-38
1eo8,3ubj,1e-38
1eo8,3ube,1e-38
1eo8,4kth,2e-38
1eo8,4kwm,7e-38
1eo8,4jul,7e-38
1eo8,3m5j,8e-38
1eo8,3m5i,8e-38
1eo8,3m5h,8e-38
1eo8,3m5g,8e-38
1eo8,2wrd,1e-37
1eo8,4hg4,2e-37
1eo8,2wr5,2e-37
1eo8,2wrc,2e-37
1eo8,2wrb,2e-37
1eo8,4hfu,3e-37
1eo8,3ku5,3e-37
1eo8,3ku6,1e-36
1eo8,2wrf,1e-36
1eo8,1jsi,2e-36
1eo8,1jsh,2e-36
1eo8,1jsd,2e-36
1eo8,4hlz,1e-35
1eo8,4hf5,1e-35
1eo8,3qqo,1e-35
1eo8,3qqi,1e-35
1eo8,3qqe,1e-35
1eo8,3qqb,1e-35
1eo8,3ku3,1e-35
1eo8,2wre,1e-34
1eo8,2wr4,1e-34
1eo8,2wr3,1e-34
1eo8,2wr7,3e-34
1eo8,4kps,8e-28
1eo8,4kpq,8e-28
1eo8,4fiu,1e-22
1eo8,4f23,1e-22
1eo8,4i78,1e-20
1eo8,4h32,1e-20
1eo8,4mc5,1e-20
1eo8,4nrl,1e-05
1eo8,4nrk,1e-05
1eo8,4nrj,1e-05
1eo8,3bt6,6e-05
1eo8,2rfu,6e-05
1eo8,2rft,6e-05
1eo8,4m44,7e-05
1eo8,4m40,7e-05
1eo8,4fqj,1e-04
1eo8,4fqm,0.004
1eo8,4fqk,0.004
1ha0,5hmg,6e-150
1ha0,3ztj,6e-150
1ha0,3eym,6e-150
1ha0,2ypg,6e-150
1ha0,1qfu,6e-150
1ha0,1ken,6e-150
1ha0,1hgj,6e-150
1ha0,1hgi,6e-150
1ha0,1hgh,6e-150
1ha0,1hgg,6e-150
1ha0,1hgf,6e-150
1ha0,1ha0,6e-150
1ha0,1eo8,6e-150
1ha0,4nm8,1e-149
1ha0,4fqy,1e-149
1ha0,4fqr,1e-149
1ha0,4fp8,1e-149
1ha0,4fnk,1e-149
1ha0,3sdy,1e-149
1ha0,2viu,3e-149
1ha0,4hmg,5e-149
1ha0,3hmg,5e-149
1ha0,3vun,5e-149
1ha0,2hmg,6e-149
1ha0,1hge,8e-149
1ha0,1hgd,8e-149
1ha0,1mqn,4e-142
1ha0,1mqm,4e-142
1ha0,1mql,4e-142
1ha0,4o58,1e-138
1ha0,4gms,1e-138
1ha0,4wa2,1e-136
1ha0,4wa1,1e-136
1ha0,4uo3,3e-131
1ha0,4uo2,3e-131
1ha0,4uo1,3e-131
1ha0,4uo0,3e-131
1ha0,4unz,4e-131
1ha0,4uny,4e-131
1ha0,4unx,4e-131
1ha0,4uoa,3e-129
1ha0,4uo9,3e-129
1ha0,4uo8,3e-129
1ha0,4uo7,3e-129
1ha0,4uo6,3e-129
1ha0,4uo5,3e-129
1ha0,4uo4,3e-129
1ha0,2yp5,2e-118
1ha0,2yp4,2e-118
1ha0,2yp3,2e-118
1ha0,2yp2,2e-118
1ha0,2yp9,1e-117
1ha0,2yp8,1e-117
1ha0,2yp7,1e-117
1ha0,4kvn,1e-115
1ha0,4o5n,2e-115
1ha0,4o5i,2e-115
