ID1,4K3X.pdb,AAD17229_cent.pdb,AAK70452_cent.pdb,AAP34322_cent.pdb,ABB96363_cent.pdb,ABF21278_cent.pdb,ACF36396_cent.pdb,ACF93484_cent.pdb,ACF93486_cent.pdb,ACX31973_cent.pdb,ACZ53978_cent.pdb,ADF83650_cent.pdb,ADJ38087_cent.pdb,ADJ41816_cent.pdb,AEH42785_cent.pdb,AEM75523_cent.pdb,AET77666_cent.pdb,AEX33924_cent.pdb,AFC98273_cent.pdb,AFL56810_cent.pdb,AFM46517_cent.pdb,AFM46639_cent.pdb,AFM46643_cent.pdb,AFM93986_cent.pdb,AGA19337_cent.pdb,AGB84799_cent.pdb,AGB84833_cent.pdb,AGH25310_cent.pdb,AGI02552_cent.pdb,AGI55453_cent.pdb,AGL04214_cent.pdb,AGL05056_cent.pdb,AGO00337_cent.pdb,AGZ60571_cent.pdb,AHB22615_cent.pdb,AHD25285_cent.pdb,AHN96842_cent.pdb,AHN97094_cent.pdb,AHY95115_cent.pdb,AIC73740_cent.pdb,CAA29337_cent.pdb,CY077110_cent.pdb
4K3X.pdb,0.0,0.35,0.6,0.35,0.6,0.63,0.69,0.3,0.29,0.29,0.6,0.38,0.35,0.65,0.35,0.63,0.62,0.36,0.4,0.37,0.36,0.39,0.35,0.38,1.02,0.33,0.35,0.35,0.59,0.67,0.36,0.38,0.35,0.62,0.64,0.63,0.4,0.73,0.3,0.38,0.61,0.28
AAD17229_cent.pdb,0.35,0.0,0.54,0.28,0.71,0.54,0.62,0.37,0.36,0.31,0.55,0.3,0.26,0.74,0.32,0.6,0.58,0.53,0.36,0.25,0.29,0.46,0.36,0.36,0.96,0.44,0.39,0.42,0.6,0.5,0.35,0.3,0.32,0.55,0.61,0.43,0.42,0.57,0.38,0.38,0.72,0.45
AAK70452_cent.pdb,0.6,0.54,0.0,0.56,0.78,0.48,0.75,0.58,0.56,0.45,0.68,0.51,0.58,0.78,0.56,0.74,0.71,0.64,0.55,0.49,0.56,0.47,0.55,0.5,1.04,0.27,0.52,0.39,0.76,0.49,0.41,0.65,0.58,0.74,0.68,0.46,0.58,0.57,0.54,0.68,0.79,0.27
AAP34322_cent.pdb,0.35,0.28,0.56,0.0,0.69,0.57,0.58,0.32,0.38,0.32,0.56,0.21,0.2,0.7,0.32,0.6,0.57,0.48,0.25,0.27,0.24,0.42,0.33,0.32,0.93,0.44,0.3,0.38,0.6,0.58,0.3,0.29,0.35,0.54,0.61,0.46,0.41,0.57,0.33,0.37,0.72,0.45
ABB96363_cent.pdb,0.6,0.71,0.78,0.69,0.0,0.8,0.57,0.67,0.66,0.62,0.44,0.69,0.71,0.28,0.67,0.46,0.56,0.55,0.71,0.71,0.71,0.7,0.65,0.66,1.16,0.62,0.63,0.72,0.48,0.85,0.64,0.7,0.66,0.58,0.42,0.81,0.68,0.63,0.64,0.71,0.28,0.64
ABF21278_cent.pdb,0.63,0.54,0.48,0.57,0.8,0.0,0.77,0.61,0.59,0.48,0.71,0.51,0.55,0.82,0.55,0.77,0.73,0.61,0.59,0.51,0.61,0.44,0.54,0.52,0.96,0.35,0.56,0.42,0.78,0.38,0.48,0.57,0.53,0.77,0.72,0.4,0.6,0.62,0.55,0.59,0.82,0.35
ACF36396_cent.pdb,0.69,0.62,0.75,0.58,0.57,0.77,0.0,0.63,0.64,0.59,0.4,0.56,0.59,0.55,0.7,0.45,0.4,0.76,0.56,0.62,0.63,0.59,0.64,0.64,1.12,0.61,0.64,0.58,0.52,0.82,0.64,0.63,0.69,0.39,0.37,0.8,0.71,0.45,0.69,0.62,0.59,0.63
ACF93484_cent.pdb,0.3,0.37,0.58,0.32,0.67,0.61,0.63,0.0,0.23,0.31,0.64,0.34,0.36,0.71,0.33,0.68,0.53,0.66,0.62,0.37,0.35,0.38,0.56,0.37,1.17,0.3,0.29,0.36,0.63,0.63,0.31,0.34,0.57,0.64,0.62,0.59,0.38,0.87,0.28,0.34,0.69,0.26
ACF93486_cent.pdb,0.29,0.36,0.56,0.38,0.66,0.59,0.64,0.23,0.0,0.25,0.63,0.38,0.38,0.72,0.35,0.69,0.53,0.66,0.63,0.38,0.39,0.42,0.56,0.33,1.18,0.29,0.34,0.38,0.65,0.58,0.36,0.38,0.56,0.65,0.6,0.57,0.35,0.66,0.34,0.39,0.68,0.29
ACX31973_cent.pdb,0.29,0.31,0.45,0.32,0.62,0.48,0.59,0.31,0.25,0.0,0.49,0.32,0.32,0.65,0.33,0.58,0.54,0.45,0.36,0.33,0.37,0.46,0.31,0.29,1.03,0.34,0.31,0.44,0.58,0.44,0.29,0.35,0.33,0.56,0.52,0.34,0.33,0.57,0.32,0.37,0.64,0.39
ACZ53978_cent.pdb,0.6,0.55,0.68,0.56,0.44,0.71,0.4,0.64,0.63,0.49,0.0,0.57,0.57,0.44,0.56,0.35,0.45,0.63,0.58,0.57,0.57,0.57,0.56,0.59,1.15,0.53,0.56,0.59,0.35,0.76,0.55,0.58,0.76,0.37,0.27,0.72,0.61,0.44,0.56,0.59,0.45,0.53
ADF83650_cent.pdb,0.38,0.3,0.51,0.21,0.69,0.51,0.56,0.34,0.38,0.32,0.57,0.0,0.25,0.72,0.37,0.62,0.55,0.53,0.26,0.29,0.27,0.39,0.35,0.34,0.96,0.41,0.32,0.36,0.63,0.52,0.31,0.3,0.39,0.57,0.61,0.43,0.43,0.56,0.36,0.27,0.73,0.45
ADJ38087_cent.pdb,0.35,0.26,0.58,0.2,0.71,0.55,0.59,0.36,0.38,0.32,0.57,0.25,0.0,0.73,0.31,0.62,0.59,0.5,0.29,0.27,0.25,0.44,0.32,0.33,0.93,0.45,0.36,0.39,0.6,0.55,0.34,0.23,0.34,0.55,0.63,0.44,0.42,0.58,0.36,0.28,0.73,0.46
ADJ41816_cent.pdb,0.65,0.74,0.78,0.7,0.28,0.82,0.55,0.71,0.72,0.65,0.44,0.72,0.73,0.0,0.69,0.47,0.57,0.59,0.72,0.74,0.73,0.72,0.69,0.71,1.18,0.65,0.66,0.73,0.47,0.88,0.65,0.74,0.71,0.57,0.42,0.83,0.73,0.63,0.66,0.74,0.3,0.65
AEH42785_cent.pdb,0.35,0.32,0.56,0.32,0.67,0.55,0.7,0.33,0.35,0.33,0.56,0.37,0.31,0.69,0.0,0.62,0.62,0.43,0.42,0.34,0.32,0.52,0.3,0.36,0.99,0.46,0.29,0.5,0.57,0.57,0.32,0.31,0.26,0.63,0.63,0.44,0.39,0.66,0.24,0.39,0.7,0.44
AEM75523_cent.pdb,0.63,0.6,0.74,0.6,0.46,0.77,0.45,0.68,0.69,0.58,0.35,0.62,0.62,0.47,0.62,0.0,0.44,0.67,0.63,0.61,0.61,0.62,0.6,0.63,1.12,0.58,0.6,0.64,0.43,0.84,0.58,0.61,0.61,0.43,0.37,0.79,0.64,0.47,0.59,0.63,0.49,0.58
AET77666_cent.pdb,0.62,0.58,0.71,0.57,0.56,0.73,0.4,0.53,0.53,0.54,0.45,0.55,0.59,0.57,0.62,0.44,0.0,0.69,0.57,0.6,0.59,0.6,0.57,0.6,1.08,0.54,0.59,0.59,0.55,0.78,0.57,0.58,0.58,0.48,0.38,0.77,0.61,0.48,0.58,0.6,0.59,0.57
AEX33924_cent.pdb,0.36,0.53,0.64,0.48,0.55,0.61,0.76,0.66,0.66,0.45,0.63,0.53,0.5,0.59,0.43,0.67,0.69,0.0,0.51,0.52,0.52,0.64,0.4,0.48,0.94,0.56,0.43,0.63,0.62,0.62,0.46,0.48,0.39,0.74,0.67,0.51,0.48,0.75,0.39,0.57,0.6,0.56
AFC98273_cent.pdb,0.4,0.36,0.55,0.25,0.71,0.59,0.56,0.62,0.63,0.36,0.58,0.26,0.29,0.72,0.42,0.63,0.57,0.51,0.0,0.34,0.28,0.48,0.35,0.38,0.93,0.49,0.39,0.42,0.61,0.61,0.37,0.38,0.4,0.55,0.62,0.51,0.47,0.58,0.41,0.47,0.74,0.51
AFL56810_cent.pdb,0.37,0.25,0.49,0.27,0.71,0.51,0.62,0.37,0.38,0.33,0.57,0.29,0.27,0.74,0.34,0.61,0.6,0.52,0.34,0.0,0.28,0.36,0.39,0.35,0.99,0.36,0.39,0.33,0.6,0.49,0.31,0.34,0.35,0.57,0.64,0.41,0.43,0.53,0.39,0.4,0.74,0.39
AFM46517_cent.pdb,0.36,0.29,0.56,0.24,0.71,0.61,0.63,0.35,0.39,0.37,0.57,0.27,0.25,0.73,0.32,0.61,0.59,0.52,0.28,0.28,0.0,0.48,0.33,0.36,0.98,0.47,0.36,0.43,0.57,0.64,0.34,0.3,0.35,0.56,0.65,0.53,0.41,0.61,0.31,0.36,0.72,0.48
AFM46639_cent.pdb,0.39,0.46,0.47,0.42,0.7,0.44,0.59,0.38,0.42,0.46,0.57,0.39,0.44,0.72,0.52,0.62,0.6,0.64,0.48,0.36,0.48,0.0,0.56,0.49,0.98,0.33,0.54,0.24,0.62,0.48,0.45,0.51,0.55,0.55,0.62,0.47,0.56,0.55,0.52,0.51,0.72,0.32
AFM46643_cent.pdb,0.35,0.36,0.55,0.33,0.65,0.54,0.64,0.56,0.56,0.31,0.56,0.35,0.32,0.69,0.3,0.6,0.57,0.4,0.35,0.39,0.33,0.56,0.0,0.3,0.9,0.47,0.29,0.51,0.59,0.55,0.34,0.3,0.24,0.63,0.61,0.43,0.37,0.66,0.3,0.4,0.69,0.49
AFM93986_cent.pdb,0.38,0.36,0.5,0.32,0.66,0.52,0.64,0.37,0.33,0.29,0.59,0.34,0.33,0.71,0.36,0.63,0.6,0.48,0.38,0.35,0.36,0.49,0.3,0.0,1.01,0.39,0.3,0.45,0.66,0.5,0.31,0.38,0.33,0.64,0.61,0.42,0.39,0.59,0.38,0.45,0.71,0.44
AGA19337_cent.pdb,1.02,0.96,1.04,0.93,1.16,0.96,1.12,1.17,1.18,1.03,1.15,0.96,0.93,1.18,0.99,1.12,1.08,0.94,0.93,0.99,0.98,0.98,0.9,1.01,0.0,1.05,0.95,1.0,1.13,1.01,0.98,0.88,0.93,1.12,1.15,0.97,0.97,1.09,0.98,0.94,1.2,1.05
AGB84799_cent.pdb,0.33,0.44,0.27,0.44,0.62,0.35,0.61,0.3,0.29,0.34,0.53,0.41,0.45,0.65,0.46,0.58,0.54,0.56,0.49,0.36,0.47,0.33,0.47,0.39,1.05,0.0,0.42,0.31,0.59,0.37,0.29,0.5,0.47,0.59,0.54,0.33,0.47,0.56,0.44,0.47,0.64,0.21
AGB84833_cent.pdb,0.35,0.39,0.52,0.3,0.63,0.56,0.64,0.29,0.34,0.31,0.56,0.32,0.36,0.66,0.29,0.6,0.59,0.43,0.39,0.39,0.36,0.54,0.29,0.3,0.95,0.42,0.0,0.49,0.6,0.57,0.25,0.36,0.32,0.63,0.59,0.43,0.36,0.63,0.26,0.48,0.7,0.43
AGH25310_cent.pdb,0.35,0.42,0.39,0.38,0.72,0.42,0.58,0.36,0.38,0.44,0.59,0.36,0.39,0.73,0.5,0.64,0.59,0.63,0.42,0.33,0.43,0.24,0.51,0.45,1.0,0.31,0.49,0.0,0.62,0.48,0.4,0.46,0.52,0.57,0.64,0.44,0.55,0.56,0.51,0.42,0.74,0.3
AGI02552_cent.pdb,0.59,0.6,0.76,0.6,0.48,0.78,0.52,0.63,0.65,0.58,0.35,0.63,0.6,0.47,0.57,0.43,0.55,0.62,0.61,0.6,0.57,0.62,0.59,0.66,1.13,0.59,0.6,0.62,0.0,0.83,0.58,0.59,0.77,0.46,0.45,0.8,0.64,0.59,0.55,0.59,0.46,0.56
AGI55453_cent.pdb,0.67,0.5,0.49,0.58,0.85,0.38,0.82,0.63,0.58,0.44,0.76,0.52,0.55,0.88,0.57,0.84,0.78,0.62,0.61,0.49,0.64,0.48,0.55,0.5,1.01,0.37,0.57,0.48,0.83,0.0,0.49,0.59,0.53,0.81,0.75,0.29,0.57,0.6,0.58,0.59,0.86,0.42
AGL04214_cent.pdb,0.36,0.35,0.41,0.3,0.64,0.48,0.64,0.31,0.36,0.29,0.55,0.31,0.34,0.65,0.32,0.58,0.57,0.46,0.37,0.31,0.34,0.45,0.34,0.31,0.98,0.29,0.25,0.4,0.58,0.49,0.0,0.4,0.35,0.6,0.58,0.37,0.39,0.56,0.29,0.48,0.67,0.33
AGL05056_cent.pdb,0.38,0.3,0.65,0.29,0.7,0.57,0.63,0.34,0.38,0.35,0.58,0.3,0.23,0.74,0.31,0.61,0.58,0.48,0.38,0.34,0.3,0.51,0.3,0.38,0.88,0.5,0.36,0.46,0.59,0.59,0.4,0.0,0.31,0.6,0.65,0.48,0.38,0.63,0.32,0.27,0.74,0.5
AGO00337_cent.pdb,0.35,0.32,0.58,0.35,0.66,0.53,0.69,0.57,0.56,0.33,0.76,0.39,0.34,0.71,0.26,0.61,0.58,0.39,0.4,0.35,0.35,0.55,0.24,0.33,0.93,0.47,0.32,0.52,0.77,0.53,0.35,0.31,0.0,0.82,0.81,0.43,0.37,0.66,0.29,0.42,0.7,0.48
AGZ60571_cent.pdb,0.62,0.55,0.74,0.54,0.58,0.77,0.39,0.64,0.65,0.56,0.37,0.57,0.55,0.57,0.63,0.43,0.48,0.74,0.55,0.57,0.56,0.55,0.63,0.64,1.12,0.59,0.63,0.57,0.46,0.81,0.6,0.6,0.82,0.0,0.38,0.78,0.66,0.44,0.63,0.57,0.54,0.59
AHB22615_cent.pdb,0.64,0.61,0.68,0.61,0.42,0.72,0.37,0.62,0.6,0.52,0.27,0.61,0.63,0.42,0.63,0.37,0.38,0.67,0.62,0.64,0.65,0.62,0.61,0.61,1.15,0.54,0.59,0.64,0.45,0.75,0.58,0.65,0.81,0.38,0.0,0.73,0.64,0.46,0.61,0.66,0.43,0.56
AHD25285_cent.pdb,0.63,0.43,0.46,0.46,0.81,0.4,0.8,0.59,0.57,0.34,0.72,0.43,0.44,0.83,0.44,0.79,0.77,0.51,0.51,0.41,0.53,0.47,0.43,0.42,0.97,0.33,0.43,0.44,0.8,0.29,0.37,0.48,0.43,0.78,0.73,0.0,0.48,0.56,0.46,0.51,0.84,0.36
AHN96842_cent.pdb,0.4,0.42,0.58,0.41,0.68,0.6,0.71,0.38,0.35,0.33,0.61,0.43,0.42,0.73,0.39,0.64,0.61,0.48,0.47,0.43,0.41,0.56,0.37,0.39,0.97,0.47,0.36,0.55,0.64,0.57,0.39,0.38,0.37,0.66,0.64,0.48,0.0,0.68,0.35,0.41,0.72,0.5
AHN97094_cent.pdb,0.73,0.57,0.57,0.57,0.63,0.62,0.45,0.87,0.66,0.57,0.44,0.56,0.58,0.63,0.66,0.47,0.48,0.75,0.58,0.53,0.61,0.55,0.66,0.59,1.09,0.56,0.63,0.56,0.59,0.6,0.56,0.63,0.66,0.44,0.46,0.56,0.68,0.0,0.67,0.62,0.65,0.6
AHY95115_cent.pdb,0.3,0.38,0.54,0.33,0.64,0.55,0.69,0.28,0.34,0.32,0.56,0.36,0.36,0.66,0.24,0.59,0.58,0.39,0.41,0.39,0.31,0.52,0.3,0.38,0.98,0.44,0.26,0.51,0.55,0.58,0.29,0.32,0.29,0.63,0.61,0.46,0.35,0.67,0.0,0.32,0.65,0.43
AIC73740_cent.pdb,0.38,0.38,0.68,0.37,0.71,0.59,0.62,0.34,0.39,0.37,0.59,0.27,0.28,0.74,0.39,0.63,0.6,0.57,0.47,0.4,0.36,0.51,0.4,0.45,0.94,0.47,0.48,0.42,0.59,0.59,0.48,0.27,0.42,0.57,0.66,0.51,0.41,0.62,0.32,0.0,0.73,0.48
