p_id,sero
1ha0,H3
4eef,H1
4cqp,H5
4cqq,H5
4cqr,H5
4cqs,H5
4cqt,H5
4cqu,H5
4cqv,H5
4cqw,H5
4cqx,H5
4cqy,H5
4cqz,H5
4lvh,H1
3qqo,H2
4f23,H16
4f3z,H1
4hmg,H3
4cyz,H10
3fku,H5
3mlh,H1
3sm5,H1
4cyv,H10
4cyw,H10
3htq,H1
3htp,H1
2fk0,H5
4m4y,H1
4kvn,H3
4bsb,H7
3hmg,H3
4mhi,H5
3hto,H1
4mhj,H5
4fqy,H3
2wrg,H1
2viu,H3
4fqr,H3
4hlz,H2
4fnk,H3
4fqi,H5
4juh,H1
2wrc,H2
3znk,H5
5hmg,H3
3znm,H5
3znl,H5
4n61,H7
4ln8,H7
4hg4,H2
4ln6,H7
4ln4,H7
4ln3,H7
1rvx,H1
4wa1,H3
4wa2,H3
3s11,H5
3s13,H5
3s12,H5
3eyj,H14
4hf5,H2
1jsm,H5
1jsn,H5
1jso,H5
1jsh,H9
1jsi,H9
1jsd,H9
3zpb,H5
4jtv,H1
4eda,H1
3sdy,H3
3qqi,H2
3qqe,H2
4h32,H17
3qqb,H2
4jtx,H1
1rvz,H1
1mqn,H3
1mqm,H3
1mql,H3
4kpq,H13
4edb,H1
3lzg,H1
3lzf,H1
1rvt,H1
3eym,H3
4hfu,H2
4bgw,H5
4gxx,H1
4bgz,H5
4bgy,H5
4bgx,H5
4f15,H1
1qfu,H3
3zp6,H5
3zp3,H5
3zp2,H5
3zp1,H5
3zp0,H5
4uo8,H3
4bh3,H5
4uny,H3
4n64,H7
2wrf,H2
2wre,H2
2wrd,H2
4n60,H7
2wrb,H2
4n62,H7
4n63,H7
4cr0,H5
1eo8,H3
3htt,H1
2wrh,H1
4cz0,H10
3m5g,H7
4bh4,H5
4ju0,H1
1ti8,H7
1rd8,H1
1ru7,H1
4dj6,H7
4dj7,H7
4bsi,H7
4bsh,H7
4o58,H3
4bsf,H7
4dj8,H7
4bsd,H7
4bsc,H7
4uo2,H3
4bsa,H7
2wr7,H2
3vun,H3
4uo3,H3
4i78,H17
3eyk,H14
4uo4,H3
4k67,H5
4py8,H1
4nm8,H3
4k63,H5
4k62,H5
4bsg,H7
3ku5,H2
3ku6,H2
4bse,H7
3ku3,H2
4fp8,H3
4jug,H1
4fqv,H7
4o5i,H3
4juk,H5
4juj,H1
4jum,H5
4jul,H5
4o5n,H3
4jun,H5
1ken,H3
4gxu,H1
4bh2,H5
4uo9,H3
4bh0,H5
4bh1,H5
2yp7,H3
4n5k,H7
4n5j,H7
4uo0,H3
4uo1,H3
2yp9,H3
2yp8,H3
4m5z,H1
4uo5,H3
4uo6,H3
4uo7,H3
4n5y,H5
4lxv,H1
4n5z,H5
4kps,H13
4kwm,H5
1hgg,H3
4fiu,H16
4unz,H3
4k65,H5
4k64,H5
3ztj,H3
4d00,H10
4k66,H5
3uyw,H1
3ubq,H1
3uyx,H1
3ube,H1
2ypg,H3
3m5j,H7
3m5i,H7
3m5h,H7
3ubn,H1
4uoa,H3
3ubj,H1
4kth,H5
3gbm,H5
3gbn,H1
4gms,H3
3r2x,H1
2hmg,H3
4kdo,H5
4kdn,H5
4kdm,H5
4unx,H3
3m6s,H1
4kdq,H5
3al4,H1
1hgf,H3
1hgi,H3
1hgh,H3
1hgj,H3
1hgd,H3
1hge,H3
4kw1,H5
2ibx,H5
4lkh,H7
4kon,H7
2yp5,H3
2yp4,H3
4lkk,H7
2yp2,H3
2wr5,H2
4lkj,H7
2yp3,H3
2wr0,H2
2wr4,H2
4lki,H7
2wr1,H2
4lcx,H7
4lkg,H7
2wr2,H2
