p_id,sero
ABB87844.1,H10N7
ACF20226.1,H10N7
ACF74233.1,H10N7
AEK49568.1,H10N7
AEM75431.1,H10N7
AGG27706.1,H10N7
AGG27718.1,H10N7
AGG27863.1,H10N7
AGG27899.1,H10N7
AGL58994.1,H10N7
AGL60617.1,H10N7
AGL60763.1,H10N7
AGL60775.1,H10N7
AGL60823.1,H10N7
AHM24205.1,H10N8
AHN97094.1,H10N8
AHZ43337.1,H10N3
ACT33159.1,H1N1
ADF58349.1,H1N1
ADG85225.1,H1N1
ADG85233.1,H1N1
ADI52834.1,H1N1
ADI52836.1,H1N1
ADI52837.1,H1N1
ADM23846.1,H1N1
ADM23847.1,H1N1
ADM23851.1,H1N1
ADP05204.1,H1N1
ADT64317.1,H1N1
ADW93789.1,H1N1
AEA29595.1,H1N1
AEB80459.1,H1N1
AEF28999.1,H1N1
AEF33067.1,H1N1
AEJ82796.1,H1N1
AEM63482.1,H1N1
AEN55513.1,H1N1
AEV40002.1,H1N1
AEZ01103.1,H1N1
AFE02952.1,H1N1
AFF57124.1,H1N1
AFM46517.1,H1N1
AFM46518.1,H1N1
AFM46639.1,H1N1
AFM46999.1,H1N1
AFN18875.1,H1N1
AFP36183.1,H1N1
AFQ37281.1,H1N1
AFX65229.1,H1N1
AGA19235.1,H1N1
AGA19305.1,H1N1
AGC13458.1,H1N1
AGE84002.1,H1N1
AGF37648.1,H1N1
AGG86873.1,H1N1
AGI52981.1,H1N1
AGI52989.1,H1N1
AGI54182.1,H1N1
AGJ73367.1,H1N1
AGK72773.1,H1N1
AGK73228.1,H1N1
AGK73290.1,H1N1
AGL04595.1,H1N1
AGL04629.1,H1N1
AGL05056.1,H1N1
AGO86678.1,H1N1
AGT18720.1,H1N1
AGT18721.1,H1N1
AGT18723.1,H1N1
AGT18724.1,H1N1
AGU92777.1,H1N1
AGW83306.1,H1N1
AGW83314.1,H1N1
AHA38580.1,H1N1
AHA57090.1,H1N1
AHF20501.1,H1N1
AHG26890.1,H1N1
AHJ57430.1,H1N1
AHJ57431.1,H1N1
AHJ57435.1,H1N1
AHN19444.1,H1N1
AHV83802.1,H1N1
AHX38144.1,H1N1
AHY84466.1,H1N1
AIA66646.1,H1N1
AIB06034.1,H1N1
AIC73740.1,H1N1
AIC73767.1,H1N1
AIC73827.1,H1N1
AIC73834.1,H1N1
BAJ06679.1,H1N1
BAM37808.1,H1N1
CCD31011.1,H1N1
BAI94576.1,H1N1
BAJ40004.1,H1N1
ACS78026.1,H1N1
ACV70734.1,H1N1
AFB70317.1,H1N1
ACZ16520.1,H1N1
ACZ61118.1,H1N1
ACZ96889.1,H1N1
ADB81439.1,H1N1
ADB89281.1,H1N1
ADD23162.1,H1N1
ADD96936.1,H1N1
ADO29901.1,H1N1
ADO29908.1,H1N1
ADL32414.1,H1N1
AEO01499.1,H1N1
AEO01598.1,H1N1
AEO01612.1,H1N1
ADM23842.1,H1N1
ADO14359.1,H1N1
AEM63475.1,H1N1
AEM63500.1,H1N1
AEH59624.1,H1N1
AEJ10440.1,H1N1
AEW25367.1,H1N1
AEW25528.1,H1N1
AEW25590.1,H1N1
AEL89681.1,H1N1
AFJ78661.1,H1N1
ACR81633.1,H1N1
ACS71656.1,H1N1
ACU13094.1,H1N1
ACX36501.1,H1N1
ADA83043.1,H1N1
ADJ18171.1,H1N1
AEA48985.1,H1N1
AEJ82788.1,H1N1
AEJ82792.1,H1N1
AEV40049.1,H1N1
AEV40056.1,H1N1
AEZ01107.1,H1N1
AFB77618.1,H1N1
AAD05216.1,H1N2
AAD05217.1,H1N2
AAD05218.1,H1N2
AAK71687.1,H1N2
AAL29715.1,H1N2
AAL87867.1,H1N2
AAL87868.1,H1N2
AAO65612.1,H1N2
ABA08508.1,H1N2
ABB03134.1,H1N2
ABG34254.1,H1N2
ABK57092.1,H1N2
ABQ42444.1,H1N2
ABS53363.1,H1N2
ABS53372.1,H1N2
ABW81532.1,H1N2
ABY40410.1,H1N2
ACE77933.1,H1N2
ACE77937.1,H1N2
ACI32741.1,H1N2
ACN90994.1,H1N2
ACO07051.1,H1N2
ACR39190.1,H1N2
ACT97067.1,H1N2
ACU82395.1,H1N2
ADB82656.1,H1N2
ADE75148.1,H1N2
ADJ80234.1,H1N2
ADK26592.1,H1N2
ADK48778.1,H1N2
ADO65971.1,H1N2
ADP05208.1,H1N2
ADR01746.1,H1N2
ADR51661.1,H1N2
ADR51662.1,H1N2
ADR51668.1,H1N2
ADR51669.1,H1N2
ADU85891.1,H1N2
ADU85893.1,H1N2
ADU85894.1,H1N2
ADV19281.1,H1N2
ADV69078.1,H1N2
ADV69091.1,H1N2
ADV69097.1,H1N2
ADV69106.1,H1N2
ADX31845.1,H1N2
ADY71223.1,H1N2
ADY71438.1,H1N2
ADY72576.1,H1N2
ADY80044.1,H1N2
AEF33066.1,H1N2
AEH42785.1,H1N2
AEI30057.1,H1N2
AEN68575.1,H1N2
AEN68577.1,H1N2
AEN68581.1,H1N2
AEO91855.1,H1N2
AEP17073.1,H1N2
AEP17078.1,H1N2
AEW31134.1,H1N2
AEX30519.1,H1N2
AEZ54197.1,H1N2
AFC98271.1,H1N2
AFC98273.1,H1N2
AFH76985.1,H1N2
AFI44374.1,H1N2
AFI62127.1,H1N2
AFI62138.1,H1N2
AFI62139.1,H1N2
AFI62151.1,H1N2
AFI62154.1,H1N2
AFJ19065.1,H1N2
AFM46519.1,H1N2
AFM46633.1,H1N2
AFM46642.1,H1N2
AFM46643.1,H1N2
AFM46654.1,H1N2
AFM46659.1,H1N2
AFM46839.1,H1N2
AFM46852.1,H1N2
AFM46856.1,H1N2
AFN06490.1,H1N2
AFN66856.1,H1N2
AFO83000.1,H1N2
AFP36088.1,H1N2
AFR75836.1,H1N2
AFR75854.1,H1N2
AFR75892.1,H1N2
AFR75914.1,H1N2
AFR76173.1,H1N2
AFR76344.1,H1N2
AFR76396.1,H1N2
AFR76471.1,H1N2
AFR76498.1,H1N2
AFR76539.1,H1N2
AFR76783.1,H1N2
AFU08580.1,H1N2
AFU08704.1,H1N2
AFU08812.1,H1N2
AFU08816.1,H1N2
AFU08860.1,H1N2
AFU08884.1,H1N2
AFU08908.1,H1N2
AFU08956.1,H1N2
AFU09062.1,H1N2
AFU09064.1,H1N2
AFU09933.1,H1N2
AFU09985.1,H1N2
AFU10169.1,H1N2
AFU10181.1,H1N2
AFV31477.1,H1N2
AFW16001.1,H1N2
AFX65236.1,H1N2
AFX65251.1,H1N2
AFX65259.1,H1N2
AFZ15893.1,H1N2
AGB84989.1,H1N2
AGB98447.1,H1N2
AGC13633.1,H1N2
AGC73203.1,H1N2
AGE83982.1,H1N2
AGF68987.1,H1N2
AGG12643.1,H1N2
AGG53738.1,H1N2
AGG86729.1,H1N2
AGH30710.1,H1N2
AGI41250.1,H1N2
AGK24455.1,H1N2
AGK62683.1,H1N2
AGL04214.1,H1N2
AGL04337.1,H1N2
AGL07472.1,H1N2
AGM16027.1,H1N2
AGM16031.1,H1N2
AGN28824.1,H1N2
AGN49381.1,H1N2
AGN69593.1,H1N2
AGN69613.1,H1N2
AGN69629.1,H1N2
AGO00337.1,H1N2
AGO59894.1,H1N2
AGR45141.1,H1N2
AGR45144.1,H1N2
AGR45311.1,H1N2
AGS41692.1,H1N2
AGT37102.1,H1N2
AGU69969.1,H1N2
AGX00886.1,H1N2
AGY14421.1,H1N2
AGZ62363.1,H1N2
AHA57131.1,H1N2
AHA57155.1,H1N2
AHB21075.1,H1N2
AHB21219.1,H1N2
AHB21460.1,H1N2
AHB22927.1,H1N2
AHB23071.1,H1N2
AHB59452.1,H1N2
AHB73620.1,H1N2
AHC69370.1,H1N2
AHD25046.1,H1N2
AHD25285.1,H1N2
AHG26596.1,H1N2
AHG26608.1,H1N2
AHG26632.1,H1N2
AHG26648.1,H1N2
AHG26717.1,H1N2
AHG26737.1,H1N2
AHH25330.1,H1N2
AHI43338.1,H1N2
AHJ02873.1,H1N2
AHL81541.1,H1N2
AHM24143.1,H1N2
AHN01260.1,H1N2
AHW46580.1,H1N2
AHW46681.1,H1N2
AHW83238.1,H1N2
AHY20935.1,H1N2
AHY95005.1,H1N2
AHZ65633.1,H1N2
AHZ65657.1,H1N2
AHZ65725.1,H1N2
AHZ65761.1,H1N2
AHZ65769.1,H1N2
AIA24435.1,H1N2
AIB06038.1,H1N2
AIB06050.1,H1N2
AIB06082.1,H1N2
BAG49619.1,H1N2
BAI83388.1,H1N2
BAK23275.1,H1N2
BAM78376.1,H1N2
BAN14734.1,H1N2
BAN14735.1,H1N2
BAN14742.1,H1N2
CAP49192.1,H1N2
CCQ71983.1,H1N2
AAA72339.1,H1N1
AAA92280.1,H1N1
AAD17229.1,H1N1
AAD25309.1,H1N1
AAD25312.1,H1N1
AAF87283.1,H1N1
AAF87284.1,H1N1
AAK70452.1,H1N1
AAK70454.1,H1N1
AAK70456.1,H1N1
AAM75158.1,H1N1
AAP34322.1,H1N1
AAP60037.1,H1N1
AAU25851.1,H1N1
ABB82216.1,H1N1
ABB86946.1,H1N1
ABD15258.1,H1N1
ABD59847.1,H1N1
ABD59848.1,H1N1
ABD59849.1,H1N1
ABD60955.1,H1N1
ABD61735.1,H1N1
ABD62843.1,H1N1
ABD79101.1,H1N1
ABD79112.1,H1N1
ABD95031.1,H1N1
ABF21276.1,H1N1
ABF21278.1,H1N1
ABI20826.1,H1N1
ABI20870.1,H1N1
ABI21519.1,H1N1
ABI95261.1,H1N1
ABK57093.1,H1N1
ABN51066.1,H1N1
ABO32981.1,H1N1
ABO32992.1,H1N1
