ID1,H10,H1N1_42,H1N1v,H1N2,H1s,H2Nx,H3N2,H3Nx,H5Nx,H5Nx_51,H7,H9
H10,0.999,0.913,0.912,0.918,0.92,0.916,0.916,0.917,0.922,0.922,0.972,0.928
H1N1_42,,0.999,0.999,0.989,0.99,0.97,0.915,0.915,0.983,0.983,0.919,0.952
H1N1v,,,0.999,0.989,0.99,0.969,0.915,0.915,0.983,0.983,0.918,0.952
H1N2,,,,0.998,0.998,0.968,0.916,0.916,0.979,0.979,0.922,0.95
H1s,,,,,0.998,0.969,0.918,0.919,0.985,0.985,0.923,0.953
H2Nx,,,,,,0.999,0.922,0.922,0.98,0.98,0.926,0.948
H3N2,,,,,,,0.999,0.999,0.926,0.926,0.922,0.911
H3Nx,,,,,,,,0.999,0.926,0.926,0.922,0.912
H5Nx,,,,,,,,,0.999,0.999,0.929,0.951
H5Nx_51,,,,,,,,,,0.999,0.928,0.951
H7,,,,,,,,,,,0.997,0.927
H9,,,,,,,,,,,,0.999
