p_id,sero
AAA43090,H2
AAA43117,H2
AAA43185,H2
AAA43205,H5
AAA43243,H2
AAA43247,H2
AAA43248,H2
AAA43578,H2
AAA43678,H2
AAA72339,H1
AAA92280,H1
AAC54377,H7
AAC54378,H5
AAC54380,H7
AAC59602,H3
AAD05216,H1
AAD05217,H1
AAD05218,H1
AAD17229,H1
AAD25309,H1
AAD25312,H1
AAD26938,H7
AAF87283,H1
AAF87284,H1
AAG10650,H7
AAG10670,H7
AAK70452,H1
AAK70454,H1
AAK70456,H1
AAK71687,H1
AAL29715,H1
AAL87867,H1
AAL87868,H1
AAM75158,H1
AAO65612,H1
AAP34322,H1
AAP60037,H1
AAP71989,H5
AAR02640,H7
AAS07023,H5
AAT08004,H3
AAT12704,H3
AAU25851,H1
AAU25861,H3
AAV30828,H5
AAV80798,H3
AAW29080,H9
AAW78047,H3
AAW80717,H5
AAX35871,H3
AAX47525,H3
AAX56590,H3
AAX57924,H3
AAY28395,H3
AAY46201,H3
AAY52493,H9
AAY52504,H9
AAY52507,H9
AAY52517,H9
AAZ32951,H3
ABA08508,H1
ABA27440,H3
ABA43336,H3
ABA46957,H3
ABB03134,H1
ABB04906,H3
ABB04928,H3
ABB18025,H2
ABB20141,H2
ABB46392,H3
ABB51963,H3
ABB79957,H3
ABB80023,H3
ABB80672,H3
ABB82216,H1
ABB86946,H1
ABB87366,H9
ABB87844,H10
ABB87886,H9
ABB88369,H3
ABB96363,H3
ABB96520,H3
ABC69150,H5
ABC72655,H5
ABD15258,H1
ABD15746,H3
ABD16718,H3
ABD28181,H5
ABD28182,H5
ABD59847,H1
ABD59848,H1
ABD59849,H1
ABD59853,H3
ABD60955,H1
ABD61249,H3
ABD61735,H1
ABD62843,H1
ABD73284,H5
ABD79101,H1
ABD79112,H1
ABD85122,H3
ABD95031,H1
ABE68927,H5
ABE73115,H3
ABF17959,H3
ABF21269,H3
ABF21276,H1
ABF21278,H1
ABF60578,H3
ABG34254,H1
ABG37230,H3
ABG48181,H3
ABG67978,H5
ABG80073,H3
ABG88531,H3
ABI20826,H1
ABI20870,H1
ABI20958,H3
ABI21519,H1
ABI36450,H5
ABI54388,H3
ABI84450,H2
ABI84495,H5
ABI84588,H2
ABI84602,H7
ABI84849,H7
ABI85000,H7
ABI85011,H7
ABI94581,H7
ABI95261,H1
ABJ16565,H5
ABJ16785,H3
ABJ51739,H5
ABK00132,H5
ABK34764,H5
ABK57092,H1
ABK57093,H1
ABM21877,H9
AB1066,H1
ABO32981,H1
ABO32992,H1
ABO38098,H2
ABO38340,H1
ABO38351,H1
ABO38362,H1
ABO38373,H1
ABO38384,H1
ABO38701,H2
ABO44057,H2
ABO52071,H3
ABO52247,H2
ABO52280,H1
ABP49327,H1
ABP49481,H1
ABP51975,H5
ABQ01355,H2
ABQ11257,H5
ABQ42444,H1
ABQ57239,H3
ABQ97200,H3
ABQ97202,H3
ABR37440,H7
ABS00315,H1
ABS50053,H3
ABS50795,H9
ABS53363,H1
ABS53372,H1
ABS71668,H1
ABS71672,H1
ABS89365,H7
ABU80265,H1
ABU92710,H3
ABU99094,H5
ABU99104,H5
ABU99195,H5
ABV31843,H9
ABW21667,H5
ABW36333,H1
ABW39883,H1
ABW40114,H1
ABW80976,H3
ABW81507,H1
ABW81532,H1
ABW91526,H1
ABW94127,H1
ABX10497,H5
ABY40410,H1
ABY79833,H5
ABY81426,H1
ABY81821,H3
ABY81829,H3
ACA04574,H3
ACA28846,H1
ACA33674,H3
ACA33732,H1
ACA33752,H1
ACA50026,H9
ACA50030,H9
ACB11782,H1
ACB11812,H1
ACB36678,H1
ACB70647,H5
ACD12172,H9
ACD12274,H5
ACD35865,H3
ACD35872,H3
ACD56302,H2
ACD56313,H2
ACD56324,H2
ACD85198,H2
ACD88648,H3
ACE77927,H1
ACE77933,H1
ACE77937,H1
ACE77938,H3
ACE77939,H3
ACE77942,H3
ACE77944,H3
ACE77946,H3
ACF20226,H10
ACF22148,H3
ACF24987,H3
ACF25543,H3
ACF25596,H1
ACF25627,H5
ACF25679,H5
ACF36262,H3
ACF36396,H3
ACF36398,H3
ACF36458,H3
ACF41834,H1
ACF41900,H3
ACF41933,H1
ACF47409,H3
ACF47420,H2
ACF47464,H3
ACF54389,H2
ACF54565,H3
ACF74233,H10
ACF74243,H5
ACF93481,H9
ACF93484,H9
ACF93486,H9
ACH95448,H9
ACH95456,H9
ACH95660,H3
ACI06178,H5
ACI26560,H3
ACI26571,H3
ACI26593,H3
ACI32741,H1
ACI41126,H5
ACI45446,H1
ACJ26341,H5
ACJ26374,H5
ACJ73766,H1
ACK99476,H3
ACL79904,H1
ACL80025,H7
ACM17265,H1
ACM51329,H1
ACM80372,H3
AC3090,H1
AC9410,H5
AC7524,H1
AC0987,H3
AC0994,H1
ACO07033,H5
ACO07038,H5
ACO07043,H5
ACO07051,H1
ACO95226,H3
ACO95270,H3
ACQ65691,H3
ACR26715,H1
ACR39190,H1
ACR48872,H5
ACR49193,H5
ACR56228,H5
ACR81633,H1
ACS71656,H1
ACS78026,H1
ACT15320,H5
ACT15355,H5
ACT20893,H5
ACT21466,H3
ACT33159,H1
ACT67801,H3
ACT97067,H1
ACU12494,H3
ACU13094,H1
ACU43765,H1
ACU44038,H1
ACU44361,H1
