ID1,H10,H1N1_42,H1N1v,H1N2,H1s,H2Nx,H3N2,H3Nx,H5Nx,H5Nx_51,H7,H9
H10,0.022,0.018,0.018,0.034,0.036,0.013,0.014,0.014,0.018,0.015,0.024,0.015
H1N1_42,,0.024,0.027,0.061,0.087,0.016,0.019,0.019,0.015,0.013,0.022,0.011
H1N1v,,,0.029,0.062,0.088,0.015,0.019,0.019,0.014,0.013,0.022,0.01
H1N2,,,,0.1,0.111,0.034,0.035,0.036,0.051,0.052,0.029,0.04
H1s,,,,,0.138,0.034,0.037,0.037,0.07,0.069,0.034,0.06
H2Nx,,,,,,0.022,0.018,0.017,0.018,0.015,0.018,0.013
H3N2,,,,,,,0.038,0.036,0.019,0.018,0.019,0.019
H3Nx,,,,,,,,0.035,0.019,0.018,0.02,0.02
H5Nx,,,,,,,,,0.061,0.05,0.025,0.012
H5Nx_51,,,,,,,,,,0.035,0.024,0.012
H7,,,,,,,,,,,0.105,0.025
H9,,,,,,,,,,,,0.027
