ID1,H10,H1N1_42,H1N1v,H1N2,H1s,H2Nx,H3N2,H3Nx,H5Nx,H5Nx_51,H7,H9
H10,0.981,0.869,0.834,0.898,0.897,0.869,0.912,0.912,0.871,0.88,0.963,0.87
H1N1_42,,0.999,0.999,0.982,0.982,0.963,0.876,0.876,0.97,0.974,0.87,0.912
H1N1v,,,0.985,0.982,0.982,0.909,0.903,0.903,0.895,0.974,0.845,0.844
H1N2,,,,0.994,0.994,0.962,0.889,0.889,0.974,0.974,0.892,0.913
H1s,,,,,0.994,0.961,0.889,0.889,0.974,0.974,0.891,0.912
H2Nx,,,,,,0.988,0.885,0.885,0.961,0.971,0.862,0.91
H3N2,,,,,,,0.999,0.999,0.894,0.883,0.924,0.889
H3Nx,,,,,,,,0.999,0.894,0.884,0.924,0.889
H5Nx,,,,,,,,,0.974,0.999,0.855,0.909
H5Nx_51,,,,,,,,,,0.999,0.879,0.915
H7,,,,,,,,,,,0.983,0.859
H9,,,,,,,,,,,,0.983
