ID1,H10,H1N1_42,H1N1v,H1N2,H1s,H2Nx,H3N2,H3Nx,H5Nx,H5Nx_51,H7,H9
H10,0.007,0.001,0.009,0.002,0.003,0.009,0.003,0.003,0.014,0.002,0.012,0.01
H1N1_42,,0.0,0.001,0.003,0.004,0.001,0.002,0.002,0.002,0.001,0.006,0.001
H1N1v,,,0.009,0.003,0.004,0.009,0.002,0.002,0.011,0.001,0.008,0.01
H1N2,,,,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.007,0.002
H1s,,,,,0.005,0.003,0.003,0.003,0.005,0.005,0.007,0.003
H2Nx,,,,,,0.012,0.004,0.004,0.015,0.002,0.017,0.01
H3N2,,,,,,,0.001,0.001,0.004,0.002,0.005,0.006
H3Nx,,,,,,,,0.001,0.004,0.002,0.005,0.006
H5Nx,,,,,,,,,0.013,0.001,0.021,0.017
H5Nx_51,,,,,,,,,,0.0,0.006,0.002
H7,,,,,,,,,,,0.013,0.017
H9,,,,,,,,,,,,0.009
