chr1:198505870-198695871;PTPRC;ATP6V1G3,ATP6V1G3,PTPRC
chr3:52535984-53255984;PRKCD;SMIM4,SNORD136,SNORD19,SNORD19B,SNORD69,GLT8D1,ITIH4-AS1,MUSTN1,MIR8064,SPCS1,NEK4,ITIH1,ITIH3,TMEM110-MUSTN1,TMEM110,RFT1,TKT,PBRM1,GNL3,ITIH4,SFMBT1
chr7:142867245-143002913;KEL;EPHB6,C7orf34,TRPV6,TRPV5
chr2:201230277-201445277;CASP8;ALS2CR12,CASP8,TRAK2,ALS2CR12
chr21:44130119-44315117;AIRE;C21orf33,LOC105372833,C21orf33,ICOSLG,DNMT3L
chr2:201235277-201680277;CASP8;ALS2CR12,CASP8,TRAK2,TMEM237,STRADB,ALS2CR11,ALS2CR12
chr14:80943656-81218656;TSHR;SNORA79,GTF2A1
chr3:53105984-53215984;PRKCD;
chr10:88930243-89015243;FAS;ACTA2-AS1,FAS-AS1,ACTA2
chr3:52460984-53250984;PRKCD;SMIM4,SNORD136,SNORD19,SNORD19B,SNORD69,GLT8D1,ITIH4-AS1,MUSTN1,MIR8064,STAB1,NT5DC2,SPCS1,NEK4,ITIH1,ITIH3,TMEM110-MUSTN1,TMEM110,RFT1,PBRM1,GNL3,ITIH4,SFMBT1
chr2:201235277-201385277;CASP8;ALS2CR12,CASP8,ALS2CR12
chr11:36558450-36673450;RAG1;RAG2,C11orf74
chr6:32597223-32692223;HLA-DQA1;HLA-DQB1,HLA-DQB1-AS1
chr6:32597223-32692223;HLA-DQB1;HLA-DQB1-AS1
chrX:49188547-49273537;FOXP3;SYP,SYP-AS1,CCDC22,CACNA1F
chr11:36543450-36768450;RAG1;RAG2,C11orf74
chr1:113722378-113967378;PTPN22;PHTF1,RSBN1,AP4B1-AS1,DCLRE1B,HIPK1-AS1,BCL2L15,RSBN1,AP4B1
chr1:172605860-172725860;FASLG;
chr1:172445860-172730860;FASLG;C1orf105,SUCO
